Date,Open,High,Low,Close,Volume,OpenInt,Predictions
20150430,11.48,11.48,11.38,11.44,2386600.0,0.0,11.64
20150501,11.34,11.41,11.31,11.39,1922200.0,0.0,11.44
20150504,11.52,11.54,11.48,11.49,1391300.0,0.0,11.39
20150505,11.58,11.61,11.53,11.53,3194800.0,0.0,11.49
20150506,11.56,11.57,11.5,11.53,1456077.0,0.0,11.53
20150507,11.48,11.5,11.42,11.44,1169819.0,0.0,11.53
20150508,11.53,11.53,11.45,11.5,1143100.0,0.0,11.44
20150511,11.51,11.52,11.4,11.44,1521400.0,0.0,11.5
20150512,11.51,11.56,11.5,11.54,1020742.0,0.0,11.44
20150513,11.66,11.79,11.66,11.74,2747134.0,0.0,11.54
20150514,11.82,11.87,11.8,11.81,1857400.0,0.0,11.74
20150515,11.78,11.86,11.76,11.84,1454030.0,0.0,11.81
20150518,11.87,11.89,11.82,11.84,1889649.0,0.0,11.84
20150519,11.76,11.76,11.66,11.68,1943651.0,0.0,11.84
20150520,11.69,11.74,11.67,11.7,2702822.0,0.0,11.68
20150521,11.64,11.69,11.64,11.66,2164200.0,0.0,11.7
20150522,11.65,11.68,11.62,11.65,1277000.0,0.0,11.66
20150526,11.48,11.51,11.47,11.48,3411064.0,0.0,11.65
20150527,11.47,11.5,11.46,11.48,1789200.0,0.0,11.48
20150528,11.47,11.51,11.41,11.49,1695089.0,0.0,11.48
20150529,11.51,11.54,11.49,11.51,2324300.0,0.0,11.49
20150601,11.6,11.64,11.48,11.5,2096957.0,0.0,11.51
20150602,11.52,11.56,11.51,11.54,2790113.0,0.0,11.5
20150603,11.51,11.53,11.4,11.46,1767500.0,0.0,11.54
20150604,11.39,11.4,11.34,11.38,1925900.0,0.0,11.46
20150605,11.27,11.34,11.25,11.32,2023100.0,0.0,11.38
20150608,11.33,11.36,11.3,11.35,2193200.0,0.0,11.32
20150609,11.41,11.42,11.37,11.37,1213177.0,0.0,11.35
20150610,11.5,11.51,11.46,11.47,1911210.0,0.0,11.37
20150611,11.41,11.44,11.38,11.43,1635621.0,0.0,11.47
20150612,11.4,11.45,11.39,11.41,1116900.0,0.0,11.43
20150615,11.43,11.51,11.41,11.46,2100400.0,0.0,11.41
20150616,11.41,11.44,11.37,11.42,1316300.0,0.0,11.46
20150617,11.4,11.5,11.35,11.47,2209400.0,0.0,11.42
20150618,11.62,11.66,11.58,11.62,5170700.0,0.0,11.47
20150619,11.63,11.64,11.59,11.6,1699100.0,0.0,11.62
20150622,11.48,11.49,11.43,11.45,4192900.0,0.0,11.6
20150623,11.38,11.41,11.37,11.39,2224004.0,0.0,11.45
20150624,11.34,11.37,11.32,11.35,1577300.0,0.0,11.39
20150625,11.33,11.37,11.32,11.33,2038500.0,0.0,11.35
20150626,11.31,11.36,11.3,11.35,2171200.0,0.0,11.33
20150629,11.37,11.41,11.35,11.39,4034900.0,0.0,11.35
20150630,11.32,11.4,11.28,11.34,3143501.0,0.0,11.39
20150701,11.31,11.34,11.28,11.3,2782300.0,0.0,11.34
20150702,11.26,11.28,11.23,11.27,2615600.0,0.0,11.3
20150706,11.26,11.35,11.25,11.3,1623400.0,0.0,11.27
20150707,11.21,11.21,11.1,11.18,2288600.0,0.0,11.3
20150708,11.23,11.26,11.2,11.21,4924300.0,0.0,11.18
20150709,11.28,11.28,11.21,11.23,1700900.0,0.0,11.21
20150710,11.22,11.27,11.19,11.24,1319400.0,0.0,11.23
20150713,11.13,11.21,11.13,11.2,1443800.0,0.0,11.24
20150714,11.19,11.2,11.15,11.17,1440464.0,0.0,11.2
20150715,11.09,11.11,11.05,11.1,1576604.0,0.0,11.17
20150716,11.06,11.1,11.05,11.06,1707300.0,0.0,11.1
20150717,11.0,11.01,10.93,10.95,5505400.0,0.0,11.06
20150720,10.74,10.75,10.64,10.65,5895000.0,0.0,10.95
20150721,10.67,10.72,10.61,10.62,12201800.0,0.0,10.65
20150722,10.53,10.59,10.5,10.56,9449600.0,0.0,10.62
20150723,10.58,10.62,10.5,10.52,7157900.0,0.0,10.56
20150724,10.44,10.65,10.43,10.62,3213200.0,0.0,10.52
20150727,10.58,10.65,10.55,10.58,2750400.0,0.0,10.62
20150728,10.6,10.62,10.57,10.58,1888000.0,0.0,10.58
20150729,10.57,10.65,10.53,10.6,2214000.0,0.0,10.58
20150730,10.49,10.59,10.47,10.51,1830500.0,0.0,10.6
20150731,10.62,10.66,10.56,10.58,2730100.0,0.0,10.51
20150803,10.54,10.57,10.49,10.49,2179948.0,0.0,10.58
20150804,10.54,10.57,10.49,10.52,2232800.0,0.0,10.49
20150805,10.52,10.54,10.46,10.48,7818200.0,0.0,10.52
20150806,10.5,10.57,10.5,10.52,2811209.0,0.0,10.48
20150807,10.56,10.63,10.54,10.56,2394600.0,0.0,10.52
20150810,10.58,10.72,10.58,10.66,3306700.0,0.0,10.56
20150811,10.73,10.75,10.67,10.72,2556155.0,0.0,10.66
20150812,10.78,10.88,10.78,10.86,4030800.0,0.0,10.72
20150813,10.78,10.81,10.76,10.77,1772500.0,0.0,10.86
20150814,10.79,10.83,10.74,10.78,1187800.0,0.0,10.77
20150817,10.83,10.84,10.79,10.79,1211000.0,0.0,10.78
20150818,10.76,10.82,10.72,10.8,1786300.0,0.0,10.79
20150819,10.86,10.96,10.85,10.94,2243800.0,0.0,10.8
20150820,11.08,11.16,11.06,11.14,9404200.0,0.0,10.94
20150821,11.18,11.23,11.11,11.2,4552700.0,0.0,11.14
20150824,11.26,11.31,11.07,11.14,7631469.0,0.0,11.2
20150825,11.09,11.1,10.96,11.02,5664100.0,0.0,11.14
20150826,10.87,10.9,10.8,10.87,2856600.0,0.0,11.02
20150827,10.83,10.9,10.8,10.85,5556200.0,0.0,10.869999999999997
20150828,10.9,11.02,10.9,10.95,2215800.0,0.0,10.85
20150831,10.91,10.98,10.9,10.98,2336100.0,0.0,10.95
20150901,11.05,11.07,10.98,11.02,4212700.0,0.0,10.98
20150902,11.0,11.02,10.94,10.95,2294100.0,0.0,11.02
20150903,10.88,10.92,10.85,10.88,2549200.0,0.0,10.95
20150904,10.8,10.85,10.8,10.83,3488900.0,0.0,10.88
20150908,10.85,10.89,10.82,10.84,1663900.0,0.0,10.83
20150909,10.76,10.76,10.64,10.7,4083700.0,0.0,10.84
20150910,10.75,10.76,10.71,10.72,2565710.0,0.0,10.7
20150911,10.64,10.71,10.62,10.71,1875400.0,0.0,10.72
20150914,10.67,10.73,10.66,10.72,1641000.0,0.0,10.71
20150915,10.67,10.7,10.65,10.67,1103700.0,0.0,10.72
20150916,10.74,10.86,10.74,10.81,3535100.0,0.0,10.67
20150917,10.79,10.95,10.79,10.94,2112185.0,0.0,10.81
20150918,11.0,11.03,10.97,11.01,6902500.0,0.0,10.94
20150921,10.94,10.96,10.92,10.94,4026400.0,0.0,11.01
20150922,10.85,10.89,10.84,10.88,3297600.0,0.0,10.94
20150923,10.95,10.95,10.91,10.91,4957494.0,0.0,10.88
20150924,11.05,11.18,11.05,11.13,5592338.0,0.0,10.91
20150925,11.07,11.1,11.05,11.08,4268800.0,0.0,11.13
20150928,10.93,10.98,10.92,10.94,1874521.0,0.0,11.08
20150929,10.92,10.96,10.88,10.9,1533400.0,0.0,10.94
20150930,10.78,10.8,10.74,10.78,5491400.0,0.0,10.9
20151001,10.78,10.82,10.75,10.76,3907100.0,0.0,10.78
20151002,10.95,11.03,10.95,11.0,4204700.0,0.0,10.76
20151005,11.01,11.03,10.94,10.96,1730738.0,0.0,11.0
20151006,11.07,11.12,11.05,11.08,1657800.0,0.0,10.96
20151007,11.06,11.11,11.03,11.06,5246375.0,0.0,11.08
20151008,11.0,11.13,11.0,11.01,9751200.0,0.0,11.06
20151009,11.15,11.21,11.12,11.18,4395300.0,0.0,11.01
20151012,11.27,11.28,11.2,11.23,6262066.0,0.0,11.18
20151013,11.24,11.29,11.23,11.28,5965500.0,0.0,11.23
20151014,11.35,11.5,11.32,11.48,8672500.0,0.0,11.28
20151015,11.42,11.5,11.39,11.43,8658000.0,0.0,11.48
20151016,11.43,11.44,11.34,11.35,4453200.0,0.0,11.43
20151019,11.36,11.37,11.29,11.29,4176012.0,0.0,11.35
20151020,11.33,11.41,11.33,11.38,5347100.0,0.0,11.29
20151021,11.33,11.34,11.24,11.27,4848100.0,0.0,11.38
20151022,11.25,11.32,11.24,11.27,5974900.0,0.0,11.27
20151023,11.27,11.28,11.19,11.25,5172100.0,0.0,11.27
20151026,11.27,11.3,11.23,11.24,8137500.0,0.0,11.25
20151027,11.23,11.28,11.22,11.27,3448700.0,0.0,11.24
20151028,11.36,11.43,11.13,11.18,7350000.0,0.0,11.27
20151029,11.12,11.15,11.06,11.06,6770600.0,0.0,11.18
20151030,11.05,11.06,11.0,11.02,5094100.0,0.0,11.06
20151102,10.96,10.98,10.94,10.95,7991524.0,0.0,11.02
20151103,10.87,10.88,10.76,10.78,6083332.0,0.0,10.95
20151104,10.79,10.8,10.68,10.68,7170320.0,0.0,10.78
20151105,10.69,10.71,10.65,10.65,5383600.0,0.0,10.68
20151106,10.51,10.54,10.49,10.5,7726200.0,0.0,10.65
