Date,Open,High,Low,Close,Volume,OpenInt,Predictions
20170119,84.96,87.4,78.16,81.28,3902350.0,0.0,80.56
20170120,81.12,83.947,73.4,78.64,3772870.0,0.0,81.28
20170123,75.0,77.4,72.6,72.92,2936728.0,0.0,78.64
20170124,74.0,77.8,69.2,74.8,4322838.0,0.0,72.92
20170125,79.6,81.44,76.76,76.84,3660663.0,0.0,74.8
20170126,82.4,84.04,80.32,83.56,2944158.0,0.0,76.84
20170127,83.2,83.28,78.4,78.44,2691771.0,0.0,83.56
20170130,77.2,79.92,74.0,79.36,2504492.0,0.0,78.44
20170131,74.04,76.0,72.76,73.12,2985063.0,0.0,79.36
20170201,76.32,77.2,70.16,71.4,3653908.0,0.0,73.12
20170202,65.72,68.56,64.76,66.68,2783959.0,0.0,71.4
20170203,66.96,67.32,64.48,64.6,3406262.0,0.0,66.68
20170206,61.12,62.56,50.0,50.04,5520998.0,0.0,64.6
20170207,51.8,52.88,47.68,50.88,5302893.0,0.0,50.04
20170208,48.36,51.92,47.0,49.72,5389684.0,0.0,50.88
20170209,49.52,54.76,49.2,54.36,5193829.0,0.0,49.72
20170210,56.44,57.2,50.04,50.6,5819787.0,0.0,54.36
20170213,52.6,53.64,51.12,52.84,3412433.0,0.0,50.6
20170214,50.32,55.108000000000004,49.88,50.96,4586908.0,0.0,52.84
20170215,52.96,54.04,50.88,51.84,3652147.0,0.0,50.96
20170216,50.48,51.2,48.6,49.72,3629088.0,0.0,51.84
20170217,49.36,52.94,48.64,52.52,3677368.0,0.0,49.72
20170221,55.0,58.16,52.208999999999996,54.4,4506491.0,0.0,52.52
20170222,54.52,59.52,53.2,54.68,4452306.0,0.0,54.4
20170223,51.36,54.0,50.88,53.92,3753383.0,0.0,54.68
20170224,51.36,57.68,51.24,57.32,4069458.0,0.0,53.92
20170227,57.52,74.2,54.68,73.48,6300571.0,0.0,57.32
20170228,67.12,73.2,64.04,69.36,6565368.0,0.0,73.48
20170301,75.92,76.4,65.28,65.28,5017963.0,0.0,69.36
20170302,71.04,82.56,68.72,81.72,5331744.0,0.0,65.28
20170303,81.88,88.4,71.88,75.48,6734835.0,0.0,81.72
20170306,78.36,91.24,77.24,87.96,5113492.0,0.0,75.48
20170307,92.4,94.0,79.56,85.68,5179245.0,0.0,87.96
20170308,90.16,90.56,83.12,88.68,3511480.0,0.0,85.68
20170309,87.56,92.2,84.28,91.16,2993522.0,0.0,88.68
20170310,88.88,91.16,75.6,77.4,4050452.0,0.0,91.16
20170313,75.8,77.16,66.04,67.48,5197482.0,0.0,77.4
20170314,68.12,80.6,66.72,79.2,6003945.0,0.0,67.48
20170315,77.16,79.73,50.52,52.28,9020703.0,0.0,79.2
20170316,49.44,55.76,49.28,53.8,6134004.0,0.0,52.28
20170317,53.68,61.52,52.641999999999996,58.6,5740860.0,0.0,53.8
20170320,57.84,59.8,54.0,56.12,3139103.0,0.0,58.6
20170321,53.48,54.36,49.96,53.16,5510953.0,0.0,56.12
