Date,Open,High,Low,Close,Volume,OpenInt,Predictions
20150430,110.23,110.54,109.79,110.48,6205345.0,0.0,110.52957980434583
20150501,110.36,110.37,109.76,109.9,3748143.0,0.0,110.54021234638988
20150504,109.97,110.08,109.53,109.54,2911820.0,0.0,109.94601037462688
20150505,109.61,109.65,109.02,109.34,3580556.0,0.0,109.61426912471582
20150506,109.27,109.27,108.69,108.84,2279908.0,0.0,109.38384502103744
20150507,108.98,109.38,108.84,109.3,3942052.0,0.0,108.89863120773792
20150508,109.86,110.15,109.78,109.95,5839229.0,0.0,109.29528796540215
20150511,109.58,109.62,108.69,108.8,4203494.0,0.0,109.85907097783348
20150512,108.44,108.95,108.26,108.66,4045936.0,0.0,108.85510876654699
20150513,109.18,109.25,108.53,108.56,3533268.0,0.0,108.7578965955582
20150514,108.74,109.11,108.63,108.91,3349848.0,0.0,108.57925363533347
20150515,109.18,109.78,109.07,109.71,2009910.0,0.0,108.88612958893711
20150518,109.45,109.45,108.74,108.82,3053521.0,0.0,109.6131066005514
20150519,108.31,108.79,108.26,108.26,3856805.0,0.0,108.84042609099826
20150520,108.43,108.69,108.17,108.4,2843812.0,0.0,108.37711796653416
20150521,108.58,108.92,108.47,108.89,1739556.0,0.0,108.42983987746717
20150522,108.8,108.83,108.55,108.81,3094567.0,0.0,108.83571498850394
20150526,108.84,109.38,108.8,109.32,2416769.0,0.0,108.77984242427598
20150527,109.33,109.52,109.06,109.44,2471195.0,0.0,109.28059491566195
20150528,109.4,109.46,109.16,109.19,3140657.0,0.0,109.39078281101531
20150529,109.47,109.54,109.1,109.24,3080925.0,0.0,109.20316123422931
20150601,109.1,109.29,108.58,108.63,5738987.0,0.0,109.25449228191508
20150602,108.22,108.37,107.98,108.07,7648955.0,0.0,108.6805630911876
20150603,107.78,107.84,107.18,107.37,3571144.0,0.0,108.16549905417322
20150604,107.53,108.06,107.53,107.93,3075924.0,0.0,107.47281694203855
20150605,107.35,107.61,106.99,107.38,5990124.0,0.0,107.93318615457196
20150608,107.49,107.61,107.3,107.3,2300764.0,0.0,107.38714654841489
20150609,107.09,107.14,106.75,106.84,6641822.0,0.0,107.34796959582057
20150610,106.71,106.78,106.48,106.58,2115599.0,0.0,106.8865568811854
20150611,107.02,107.48,106.79,107.46,2766652.0,0.0,106.6368069558659
20150612,107.22,107.73,107.19,107.29,2631991.0,0.0,107.40141426477037
20150615,107.61,107.65,107.15,107.28,1972993.0,0.0,107.23957033616922
20150616,107.4,107.53,107.13,107.53,2455040.0,0.0,107.29353355883534
