Date,Open,High,Low,Close,Volume,OpenInt,Predictions
20150810,32.49,32.49,32.01,32.18,2489200.0,0.0,32.723850734132505
20150811,32.5,33.33,32.24,32.96,4007323.0,0.0,32.309438026088145
20150812,33.44,34.13,32.62,32.75,4585700.0,0.0,33.01495440586958
20150813,32.69,33.0,32.37,32.89,3512800.0,0.0,32.57718451683393
20150814,33.02,33.14,32.66,32.76,1954300.0,0.0,32.910415826247295
20150817,32.94,33.07,32.18,32.21,2688800.0,0.0,32.811281263346544
20150818,32.31,32.62,32.25,32.54,1913300.0,0.0,32.29327465940379
20150819,32.74,33.34,32.4,32.96,4181300.0,0.0,32.523467802567716
20150820,33.55,34.81,33.36,34.81,5893900.0,0.0,32.80624924776093
20150821,35.72,37.76,35.18,37.76,10003400.0,0.0,34.63307370763185
20150824,44.0,44.0,37.75,40.75,14606386.0,0.0,37.3264456988547
20150825,37.89,41.11,37.23,41.11,13499100.0,0.0,40.14948492041379
20150826,38.7,40.38,36.76,36.94,12440800.0,0.0,40.72888888440557
20150827,35.84,36.74,35.01,35.13,8348900.0,0.0,37.31091069559495
20150828,35.43,35.57,34.82,35.07,5587600.0,0.0,35.686005385577246
20150831,35.44,36.1,35.07,35.94,5778000.0,0.0,34.983230298575776
20150901,37.75,38.47,36.63,38.12,8016900.0,0.0,35.96932341836752
20150902,36.86,37.69,36.03,36.06,10113300.0,0.0,38.19487110633705
20150903,35.77,36.6,35.26,36.39,6619500.0,0.0,36.12480430781366
20150904,37.39,37.66,36.78,37.25,7851400.0,0.0,36.37596107740054
20150908,35.8,36.13,35.06,35.15,5378600.0,0.0,36.69433672539015
20150909,34.33,36.12,34.31,35.93,7562900.0,0.0,35.42522393376759
20150910,36.01,36.1,34.69,35.18,6882854.0,0.0,36.6183465525988
20150911,35.51,35.67,34.78,34.78,3873000.0,0.0,35.00576580694233
20150914,34.53,35.23,34.51,34.98,2444000.0,0.0,34.534843847966826
20150915,34.79,35.06,33.93,34.18,4108200.0,0.0,34.90587720358079
20150916,34.14,34.37,33.7,33.77,3920200.0,0.0,34.560128506900526
20150917,33.81,34.03,32.73,33.76,6907567.0,0.0,34.16278114262308
20150918,34.74,34.81,33.9,34.67,6278800.0,0.0,33.5487629984517
20150921,34.33,35.09,33.91,34.49,4330800.0,0.0,34.2546152865089
20150922,35.52,36.12,35.29,35.52,4824700.0,0.0,34.534028457652646
20150923,35.32,35.82,35.14,35.48,3582052.0,0.0,35.848489615495446
20150924,36.14,36.74,35.44,35.69,5858952.0,0.0,35.326951670850576
20150925,34.96,36.75,34.87,36.29,7821300.0,0.0,35.34958065417197
20150928,36.62,38.58,36.58,38.37,7179649.0,0.0,36.05259162811949
20150929,38.19,39.33,37.4,38.75,8350000.0,0.0,38.34219304555175
20150930,37.66,37.98,36.91,37.03,7358500.0,0.0,38.71126190177303
20151001,36.87,37.83,36.67,36.71,5995300.0,0.0,37.116177793641626
