Date,Open,High,Low,Close,Volume,OpenInt,Predictions
20150810,81.24,81.24,80.12,80.24,1970350.0,0.0,82.05489823311645
20150811,81.44,82.32,81.04,81.64,2056743.0,0.0,80.46151770872955
20150812,82.92,84.24,81.28,81.48,3268425.0,0.0,81.68372059276547
20150813,81.56,82.16,80.96,81.72,1692275.0,0.0,81.24367365331297
20150814,81.84,82.0,81.0,81.04,1442750.0,0.0,81.88777869172633
20150817,81.6,82.04,80.16,80.16,1628300.0,0.0,81.02799886818256
20150818,80.44,80.84,80.08,80.64,1408650.0,0.0,80.1950460764545
20150819,81.32,82.64,80.64,81.92,3541525.0,0.0,80.81201940577657
20150820,83.32,85.44,82.8,85.44,4116975.0,0.0,81.81510780719883
20150821,87.16,90.72,86.2,90.68,8979450.0,0.0,84.82905775389399
20150824,100.0,102.4,92.28,98.16,11111288.0,0.0,89.74341146948544
20150825,92.08,100.84,91.96,100.44,7819650.0,0.0,96.81617017587516
20150826,95.32,99.32,92.4,92.6,9413950.0,0.0,99.04301498733052
20150827,90.2,92.0,88.0,88.08,7032075.0,0.0,92.83205060854665
20150828,88.84,89.28,87.6,88.04,3073100.0,0.0,89.30243205844704
20150831,89.16,90.12,88.24,89.64,3463975.0,0.0,88.46634444197751
20150901,93.68,95.84,92.16,94.96,5234925.0,0.0,89.81945124204513
20150902,92.04,94.28,91.28,91.36,3702600.0,0.0,94.49693145047037
20150903,90.48,91.76,88.84,91.12,3946425.0,0.0,90.86014079398579
20150904,93.64,94.84,92.76,93.88,4111475.0,0.0,91.5373864086109
20150908,90.64,91.4,89.04,89.2,3373000.0,0.0,93.61410025014321
20150909,87.52,92.0,87.36,91.52,3996950.0,0.0,89.35023057461855
20150910,91.84,92.08,89.32,90.52,4210223.0,0.0,91.87572136068094
20150911,91.16,91.8,89.72,89.76,2106825.0,0.0,90.23195143745072
20150914,89.56,90.96,89.52,90.48,1663525.0,0.0,90.14720312680673
20150915,89.84,90.36,87.68,88.16,2777375.0,0.0,90.47103683323574
20150916,87.92,88.16,86.4,86.64,2269125.0,0.0,88.20193310327934
20150917,86.8,87.4,84.28,86.96,5811653.0,0.0,87.20761016380139
20150918,89.6,90.28,88.0,89.96,4426250.0,0.0,87.14062635661467
20150921,88.92,90.04,87.84,88.88,3606975.0,0.0,89.5800938068068
20150922,91.24,92.44,90.72,91.2,3782400.0,0.0,88.76241312880433
20150923,91.12,92.16,90.52,91.48,2622867.0,0.0,91.14125889073821
20150924,92.92,94.4,91.64,92.08,4752523.0,0.0,90.89925229067902
20150925,90.44,93.2,90.16,92.24,4644050.0,0.0,92.08578569821108
20150928,93.24,97.2,93.12,96.88,5308691.0,0.0,92.20728808184609
20150929,96.48,97.96,95.04,96.84,5298725.0,0.0,96.18063243391849
20150930,94.4,95.36,92.92,93.12,6017775.0,0.0,96.26837409789255
20151001,92.72,94.88,92.28,92.64,5307775.0,0.0,93.66328451427529
20151002,94.92,95.52,89.88,89.88,7886625.0,0.0,92.79257661499112
20151005,88.48,88.64,86.4,86.6,4248567.0,0.0,90.1144330029004
20151006,86.8,87.96,86.2,87.2,3577050.0,0.0,87.73055463207602
20151007,86.28,87.52,85.44,85.76,4108006.0,0.0,87.4420531394839
20151008,86.2,86.52,84.0,84.32,4911075.0,0.0,85.65411165648734
20151009,84.12,84.8,83.68,84.12,3209800.0,0.0,85.13028695524508
20151012,84.08,84.52,83.76,84.0,1647557.0,0.0,84.31998684238248
20151013,84.8,85.24,83.44,85.04,3175150.0,0.0,83.70231873664883
20151014,85.16,86.16,84.52,85.88,3035200.0,0.0,85.30773128526224
20151015,85.2,85.56,83.24,83.28,3206900.0,0.0,85.86133954950373
20151016,82.84,83.56,82.44,82.56,2866050.0,0.0,83.01643243424358
20151019,83.08,83.4,82.36,82.4,1947810.0,0.0,83.02449458979397
20151020,82.8,83.08,82.0,82.6,2157500.0,0.0,82.79886975949114
20151021,82.08,83.8,82.04,83.68,2951550.0,0.0,82.39582166014239
