Date,Open,High,Low,Close,Volume,OpenInt,Predictions
20150430,117.56,118.64,117.04,118.42,13694548.0,0.0,118.32300621353295
20150501,117.51,117.82,116.52,116.81,13138438.0,0.0,118.47940967567945
20150504,117.09,117.31,115.63,115.74,9706082.0,0.0,116.90551987481608
20150505,115.76,115.92,114.66,115.57,14791038.0,0.0,115.84054611313825
20150506,114.96,114.99,113.43,113.61,15232348.0,0.0,115.64557252732267
20150507,114.41,115.48,114.33,115.09,12652672.0,0.0,113.72147433955143
20150508,116.23,116.38,115.22,115.42,12435790.0,0.0,115.12242971074534
20150511,114.59,114.62,112.57,112.6,14582051.0,0.0,115.43217945646008
20150512,112.24,113.67,111.92,112.91,16835546.0,0.0,112.70061060756296
20150513,113.68,113.74,111.78,111.98,16727645.0,0.0,112.96806137073803
20150514,112.02,112.9,111.82,112.28,9688886.0,0.0,112.04924095521714
20150515,113.46,114.87,113.35,114.56,13405491.0,0.0,112.31679714802227
20150518,113.38,113.49,112.54,112.62,10834287.0,0.0,114.50973099747564
20150519,111.44,112.91,111.3,111.64,8953006.0,0.0,112.65188586105019
20150520,111.88,112.52,111.35,111.82,8267954.0,0.0,111.69589528048517
20150521,112.65,113.65,112.52,113.41,12482705.0,0.0,111.85110335758579
20150522,113.59,113.77,112.87,113.46,5750560.0,0.0,113.3744815821049
20150526,113.85,115.46,113.76,115.37,11112233.0,0.0,113.43432943776008
20150527,115.09,115.76,114.58,115.65,6888700.0,0.0,115.28588290152075
20150528,115.41,115.92,115.13,115.35,6620579.0,0.0,115.58361852926981
20150529,116.07,116.4,115.42,115.62,8397693.0,0.0,115.31515880744516
20150601,115.28,115.55,113.96,114.37,13882934.0,0.0,115.5870444324512
20150602,113.49,113.57,112.44,112.77,10671287.0,0.0,114.39095790956142
20150603,111.77,111.96,110.65,110.96,15686323.0,0.0,112.83876569732601
20150604,111.66,112.62,111.56,112.39,11501127.0,0.0,111.06517269526343
20150605,111.39,111.93,110.83,111.04,11862180.0,0.0,112.41710089735754
20150608,111.37,111.58,110.82,110.91,5649207.0,0.0,111.10448704582959
20150609,110.52,110.58,109.63,110.03,13126330.0,0.0,110.95877682753243
20150610,109.46,109.65,108.82,109.07,12903667.0,0.0,110.09274563797754
20150611,110.05,111.39,109.76,111.37,14667949.0,0.0,109.14409524578623
20150612,111.04,112.41,110.99,111.37,8525124.0,0.0,111.34402801648484
20150615,112.26,112.4,111.18,111.56,8678484.0,0.0,111.35210096372202
20150616,111.97,112.42,111.36,112.41,7462833.0,0.0,111.54113599599214
20150617,111.89,111.99,110.7,111.57,14431590.0,0.0,112.3678705597735
20150618,110.82,111.18,110.23,111.01,10721620.0,0.0,111.56971009743354
20150619,111.88,112.51,111.86,112.42,11056301.0,0.0,111.02925300576088
20150622,111.23,111.56,110.08,110.13,10346377.0,0.0,112.38397074852999
20150623,109.25,110.43,109.24,109.49,9473837.0,0.0,110.18702744458496
20150624,110.0,110.62,109.68,110.42,9108696.0,0.0,109.55149230006845
20150625,110.08,110.54,109.71,110.03,8777722.0,0.0,110.42935780553981
20150626,109.22,109.41,108.48,108.8,12362927.0,0.0,110.05044088303545
20150629,110.43,112.03,109.95,111.69,18145689.0,0.0,108.85803150170503
20150630,110.83,112.06,110.78,110.9,14265213.0,0.0,111.62329272227652
20150701,109.6,110.1,109.23,109.41,9906204.0,0.0,110.8835694727513
20150702,110.07,110.39,109.66,109.78,7061549.0,0.0,109.45577750082474
20150706,111.71,112.26,110.77,111.8,11208059.0,0.0,109.79698248572332
20150707,113.22,114.03,112.54,112.85,17077766.0,0.0,111.73353129834018
20150708,113.59,114.11,113.08,113.83,10516921.0,0.0,112.76586528309439
20150709,112.3,112.71,111.53,111.6,11739619.0,0.0,113.7372470119418
20150710,109.81,110.45,109.55,109.82,14410965.0,0.0,111.6197870845711
20150713,109.19,110.2,109.19,109.48,8461369.0,0.0,109.89997938497191
20150714,109.79,110.02,109.45,109.84,4467652.0,0.0,109.54792193398728
20150715,109.87,111.23,109.81,111.0,9215602.0,0.0,109.87399511244165
20150716,110.6,111.81,110.58,111.77,7721406.0,0.0,110.97978841417365
20150717,112.01,112.48,111.98,112.32,7825394.0,0.0,111.72691520833867
20150720,111.91,112.26,111.58,111.85,6278257.0,0.0,112.26934133131772
20150721,111.35,112.52,111.34,112.45,5946958.0,0.0,111.83203541014507
20150722,112.6,113.48,112.54,113.18,6582613.0,0.0,112.41483149364566
20150723,113.22,114.7,113.04,114.59,9603754.0,0.0,113.12813182727733
20150724,114.98,115.0,114.43,114.88,7722779.0,0.0,114.50224839384722
20150727,115.63,115.72,114.95,115.48,8635947.0,0.0,114.80840042248259
20150728,114.66,115.01,114.41,114.65,9646447.0,0.0,115.40880582619722
20150729,114.52,114.67,113.96,114.23,7087227.0,0.0,114.62977837316902
20150730,114.71,115.38,114.65,115.07,6495641.0,0.0,114.23091909826306
20150731,115.87,116.28,115.5,115.95,9699603.0,0.0,115.04012811022652
20150803,116.01,117.34,116.01,117.15,12392569.0,0.0,115.89712843901293
20150804,116.79,116.93,116.15,116.23,6800020.0,0.0,117.07040281413185
20150805,115.48,115.62,114.94,115.36,7986940.0,0.0,116.2074186605653
20150806,115.71,116.51,115.71,116.37,6448385.0,0.0,115.37576981109531
20150807,116.91,118.08,116.85,117.93,8769999.0,0.0,116.3440610483586
20150810,117.02,117.17,116.19,116.44,7868107.0,0.0,117.85475529049017
20150811,117.89,118.68,117.75,118.32,11741153.0,0.0,116.44281873838395
20150812,118.48,119.22,117.59,117.66,8915836.0,0.0,118.25100486754494
20150813,117.42,118.0,116.83,117.26,8110420.0,0.0,117.63755939065776
20150814,117.07,117.96,116.82,117.55,4560309.0,0.0,117.25984128742516
20150817,118.28,118.65,117.98,118.1,8309615.0,0.0,117.53880344694139
20150818,117.39,117.88,116.99,117.14,5297914.0,0.0,118.07122531507498
20150819,116.69,118.48,116.63,118.32,11320787.0,0.0,117.15721246233443
20150820,118.9,119.6,118.72,119.52,9572882.0,0.0,118.28605782439078
20150821,119.66,120.19,119.11,119.88,11302230.0,0.0,119.4506960287927
20150824,121.68,122.24,119.33,119.85,17570912.0,0.0,119.81909833523443
20150825,118.13,118.34,117.16,117.92,16191215.0,0.0,119.80950926979388
20150826,116.64,117.11,115.07,115.64,17324992.0,0.0,117.96614145892475
20150827,115.53,116.51,115.36,115.71,9624127.0,0.0,115.75541160012804
20150828,116.78,117.07,115.93,116.05,10487958.0,0.0,115.78800861494692
20150831,116.97,117.07,115.05,115.13,9086979.0,0.0,116.09205072408783
20150901,115.61,116.04,114.98,115.98,16096741.0,0.0,115.19327427546148
20150902,115.39,115.94,114.87,114.98,10011878.0,0.0,115.99275159070584
20150903,115.35,115.64,114.72,115.54,7410000.0,0.0,115.02618089385736
20150904,116.36,116.81,115.78,116.59,8366343.0,0.0,115.55116704171013
20150908,115.35,115.53,114.77,114.88,7417365.0,0.0,116.55839233967171
20150909,113.7,115.67,113.64,115.42,7830250.0,0.0,114.92308913337335
20150910,115.0,115.16,114.47,114.65,7140628.0,0.0,115.42909986682068
20150911,115.44,116.03,115.3,115.36,6198396.0,0.0,114.68602668887232
20150914,115.91,116.1,115.25,115.55,4442066.0,0.0,115.35746979214885
20150915,114.9,115.02,113.22,113.35,12515792.0,0.0,115.54088658466829
20150916,113.06,113.53,112.66,112.91,7312461.0,0.0,113.42968393011299
20150917,112.99,114.4,112.84,114.28,20879327.0,0.0,112.98156027816174
20150918,115.18,116.15,115.1,116.05,15744358.0,0.0,114.27624340980721
20150921,115.0,115.08,113.84,114.16,10611945.0,0.0,115.97864824098689
20150922,115.41,116.3,115.11,115.75,10488521.0,0.0,114.18525601091359
20150923,115.59,116.02,114.98,115.74,7123233.0,0.0,115.70248814983844
20150924,117.04,117.54,116.4,116.51,10102491.0,0.0,115.70775420775247
20150925,115.62,115.89,115.24,115.51,8821313.0,0.0,116.45658697967669
20150928,116.15,117.63,116.15,117.48,10346636.0,0.0,115.51403005209691
20150929,117.4,118.14,117.12,117.83,9476204.0,0.0,117.40154532884618
20150930,117.27,117.66,117.0,117.4,10345740.0,0.0,117.76236346383739
20151001,118.19,118.6,117.78,117.93,9523013.0,0.0,117.37132189228228
20151002,119.62,120.19,118.28,118.64,13650624.0,0.0,117.88877858293827
20151005,117.84,117.95,116.92,117.01,11930983.0,0.0,118.58304544050739
20151006,116.7,117.72,116.57,117.52,5972174.0,0.0,117.03826107010569
20151007,116.95,117.45,116.67,117.12,7048536.0,0.0,117.51819576495498
20151008,117.41,117.49,115.87,116.16,13526615.0,0.0,117.13546894208451
20151009,116.17,116.79,116.1,116.44,9490042.0,0.0,116.21042569053881
20151012,117.16,117.54,117.04,117.33,4453144.0,0.0,116.46281319876383
20151013,117.66,117.72,116.94,117.54,6454655.0,0.0,117.30835346313448
20151014,117.82,118.63,117.42,118.58,10225157.0,0.0,117.51646809698235
20151015,118.39,118.54,117.9,118.0,7270520.0,0.0,118.52074731002126
20151016,118.34,118.55,117.99,118.04,8450842.0,0.0,117.9835389706473
20151019,117.91,118.08,117.04,117.71,6550377.0,0.0,118.02708353840393
20151020,116.94,117.1,116.7,116.97,6752965.0,0.0,117.7149641331413
20151021,117.73,118.32,117.59,118.16,6934092.0,0.0,117.00426311900611
20151022,118.21,118.84,117.63,118.34,7280913.0,0.0,118.13347611682293
20151023,117.22,117.58,116.99,117.32,7411221.0,0.0,118.31432866264461
20151026,117.99,118.3,117.93,118.13,6152778.0,0.0,117.34556305285838
20151027,118.59,118.95,118.27,118.41,7514647.0,0.0,118.1130867602983
20151028,118.35,118.42,117.42,117.95,8892162.0,0.0,118.38658858537984
20151029,117.3,117.34,115.91,116.06,12713486.0,0.0,117.95360079826416
20151030,116.4,116.95,116.21,116.92,12454550.0,0.0,116.14259012546152
20151102,116.23,116.61,116.14,116.38,9168745.0,0.0,116.94006002820062
20151103,116.11,116.19,115.27,115.43,9347458.0,0.0,116.41680139055259
20151104,115.58,116.0,115.18,115.57,6266317.0,0.0,115.49544230435826
20151105,115.53,115.54,114.82,115.25,7615364.0,0.0,115.6085374075143
20151106,114.06,114.1,113.35,113.6,11110922.0,0.0,115.28973445654218
20151109,112.72,113.51,112.62,112.95,9596713.0,0.0,113.6962759946066
20151110,113.11,113.78,113.0,113.29,7032924.0,0.0,113.04141378648649
20151111,112.97,113.19,112.89,113.05,2994219.0,0.0,113.33779548981114
20151112,113.36,114.01,113.31,113.6,7130576.0,0.0,113.09211397396673
20151113,113.89,114.44,113.79,114.24,8283921.0,0.0,113.60569047368965
20151116,114.33,114.53,113.7,114.13,5747143.0,0.0,114.21735937315383
20151117,113.6,114.66,113.27,114.31,5367446.0,0.0,114.11919650544638
20151118,114.14,114.72,113.93,114.55,5483638.0,0.0,114.29513587042084
20151119,115.36,115.63,115.16,115.3,6960108.0,0.0,114.52986346404597
20151120,115.41,115.52,114.8,114.96,6256032.0,0.0,115.25505435732846
20151123,115.01,115.6,114.84,115.3,5695700.0,0.0,114.94357371527525
20151124,115.38,115.68,115.06,115.29,3532335.0,0.0,115.27463794441353
20151125,115.65,115.89,115.43,115.57,3437413.0,0.0,115.27317750528108
20151127,115.73,115.79,115.44,115.45,2693310.0,0.0,115.54688960430178
20151130,115.58,115.99,115.54,115.92,5426958.0,0.0,115.43930236561266
20151201,115.74,117.24,115.74,117.22,13376011.0,0.0,115.89312492672548
20151202,117.06,117.43,116.62,117.26,7696464.0,0.0,117.1478710770611
20151203,115.83,115.87,113.59,114.1,17405175.0,0.0,117.20949789633843
20151204,114.1,115.41,114.04,115.06,12409171.0,0.0,114.19846127858307
20151207,115.29,116.87,115.28,116.2,9447016.0,0.0,115.086998155133
20151208,116.7,116.84,115.92,116.26,7603964.0,0.0,116.1687420978935
20151209,115.82,116.58,115.0,116.14,9423126.0,0.0,116.2362202920848
20151210,116.24,116.46,115.95,116.28,5874444.0,0.0,116.12911956379263
20151211,117.42,118.45,117.26,118.14,12887150.0,0.0,116.26654084619841
20151214,117.47,117.54,116.2,116.59,11169755.0,0.0,118.05027126124553
20151215,115.5,116.06,115.31,115.91,9215254.0,0.0,116.5969955824255
20151216,115.55,116.6,115.0,115.66,11513040.0,0.0,115.94468909017166
