Date,Open,High,Low,Close,Volume,OpenInt,Predictions
20160127,22.255,22.92,21.23,21.66,20224880.0,0.0,22.57
20160128,22.205,22.433000000000003,21.334,21.645,18823074.0,0.0,21.66
20160129,21.88,23.75,21.83,23.725,17738890.0,0.0,21.645
20160201,23.195,23.845,22.59,23.425,18567902.0,0.0,23.725
20160202,22.635,22.74,21.589000000000002,21.93,20913728.0,0.0,23.425
20160203,22.4,22.44,20.535,21.99,19831764.0,0.0,21.93
20160204,21.735,23.015,21.725,22.235,21704696.0,0.0,21.99
20160205,21.935,22.014,20.385,20.425,23842756.0,0.0,22.235
20160208,19.77,19.782,18.5,19.4,26878988.0,0.0,20.425
20160209,18.605,19.83,18.575,19.05,26619948.0,0.0,19.4
20160210,19.45,20.28,18.96,19.02,25293526.0,0.0,19.05
20160211,18.0,18.784000000000002,17.76,18.435,32854120.0,0.0,19.02
20160212,18.945,19.57,18.655,19.48,21707498.0,0.0,18.435
20160216,20.175,20.975,19.85,20.875,18450594.0,0.0,19.48
20160217,21.275,22.245,21.26,21.82,16670034.0,0.0,20.875
20160218,21.88,21.955,21.25,21.47,14093458.0,0.0,21.82
20160219,21.255,21.905,20.975,21.83,12659352.0,0.0,21.47
20160222,22.41,22.84,22.345,22.58,13299820.0,0.0,21.83
20160223,22.315,22.51,21.89,21.935,15449738.0,0.0,22.58
20160224,21.28,22.705,20.855,22.59,18347124.0,0.0,21.935
20160225,22.705,23.225,22.425,23.185,14031258.0,0.0,22.59
20160226,23.565,23.815,23.295,23.61,15531204.0,0.0,23.185
20160229,23.585,24.195,23.315,23.315,13294136.0,0.0,23.61
20160301,23.94,24.825,23.54,24.825,16884088.0,0.0,23.315
20160302,24.74,25.635,24.575,25.6,11952588.0,0.0,24.825
20160303,25.59,26.38,25.52,26.38,11951034.0,0.0,25.6
20160304,26.36,27.25,26.05,26.805,18351388.0,0.0,26.379999999999995
20160307,26.45,27.75,26.44,27.705,14315532.0,0.0,26.805
20160308,27.22,27.23,25.6,25.67,17603698.0,0.0,27.705
20160309,25.96,26.215,25.54,26.075,13063446.0,0.0,25.67
20160310,26.295,26.58,24.63,25.455,16419582.0,0.0,26.075
20160311,26.04,27.142,25.955,27.06,14597434.0,0.0,25.455
20160314,26.8,27.145,26.465,26.855,10617138.0,0.0,27.06
20160315,26.345,26.36,25.435,25.62,12393356.0,0.0,26.855
20160316,25.255,26.375,25.24,26.13,12976686.0,0.0,25.62
20160317,25.97,27.665,25.65,27.3,13218428.0,0.0,26.13
20160318,27.425,28.31,27.375,28.08,11790674.0,0.0,27.3
20160321,27.945,28.305,27.65,27.85,8481196.0,0.0,28.08
20160322,27.46,28.115,27.185,27.775,8158742.0,0.0,27.85
20160323,27.51,27.54,26.175,26.185,10520982.0,0.0,27.775
20160324,25.76,26.465,25.38,26.465,10209844.0,0.0,26.185
20160328,26.645,26.881,25.975,26.525,7776570.0,0.0,26.465
20160329,26.295,28.755,26.125,28.755,11049146.0,0.0,26.525
20160330,29.2,29.385,28.54,28.755,9833690.0,0.0,28.755
20160331,28.88,29.415,28.775,29.0,9370626.0,0.0,28.755
20160401,28.2,29.44,28.108,29.38,9632752.0,0.0,29.0
20160404,29.225,29.525,28.565,28.615,7217140.0,0.0,29.38
20160405,28.005,28.38,27.605,27.655,9498958.0,0.0,28.615
20160406,27.655,28.675,27.41,28.605,10549182.0,0.0,27.655
20160407,27.995,28.38,27.015,27.45,12458402.0,0.0,28.605
20160408,28.11,28.47,27.4,27.75,11111060.0,0.0,27.45
20160411,28.2,28.85,27.49,27.495,9663314.0,0.0,27.75
20160412,27.505,28.55,27.235,28.39,8176720.0,0.0,27.495
20160413,28.89,30.295,28.825,30.2,9565254.0,0.0,28.39
20160414,30.18,30.515,29.861,30.105,7303966.0,0.0,30.2
20160415,29.91,30.455,29.835,30.33,5313204.0,0.0,30.105
20160418,29.93,31.07,29.84,30.985,7665100.0,0.0,30.33
20160419,31.175,31.675,30.66,31.05,8390352.0,0.0,30.985
20160420,31.06,31.745,30.735,31.24,7913732.0,0.0,31.05
20160421,31.13,31.5,30.465,30.745,7843146.0,0.0,31.24
20160422,30.74,31.71,30.73,31.63,7869028.0,0.0,30.745
20160425,31.405,31.485,30.585,30.96,9276944.0,0.0,31.63
20160426,31.275,31.97,30.88,31.88,9109014.0,0.0,30.96
20160427,31.92,32.4,31.445,32.2,10412696.0,0.0,31.88
20160428,31.75,32.365,30.85,31.07,8856986.0,0.0,32.2
20160429,30.69,31.07,29.64,30.185,14573338.0,0.0,31.069999999999997
