Date,Open,High,Low,Close,Volume,OpenInt,Predictions
20160127,61.03,63.75,59.24,62.71,3956633.0,0.0,57.73684804591398
20160128,61.0,63.55,60.28,62.7,4064548.0,0.0,59.89818449415529
20160129,62.01,62.08,56.49,56.665,7114057.0,0.0,58.145184656198495
20160201,57.87,59.273999999999994,56.27,57.23,4646355.0,0.0,54.13305466738217
20160202,59.18,61.74,58.9594,60.88,3927464.0,0.0,54.63653245548433
20160203,59.45,64.779,59.44,60.62,4076562.0,0.0,55.82739491838687
20160204,61.44,61.44,57.86,59.97,4485201.0,0.0,57.94828907924068
20160205,60.75,64.9699,60.58,64.9,4382850.0,0.0,58.57714617702661
20160208,66.94,70.96,66.87,68.04,4427193.0,0.0,59.86410917350378
20160209,70.82,71.0,66.541,69.29,3901686.0,0.0,63.34853496961669
20160210,67.89,69.61,64.76,69.43,4050350.0,0.0,68.59263103513258
20160211,73.21,74.0,70.22,71.54,4973340.0,0.0,66.21185902300124
20160212,69.54,70.59,67.06,67.5,3249117.0,0.0,65.87875150796955
20160216,65.01,66.1216,62.23,62.66,4347130.0,0.0,66.06945033479847
20160217,61.35,61.39,58.4445,59.61,5377587.0,0.0,61.523795277565824
20160218,59.54,61.25,59.36,60.56,3684017.0,0.0,53.78883691048546
20160219,61.28,62.03,59.4049,59.6,3565173.0,0.0,56.17689916065746
20160222,58.0,58.19,56.8,57.6,3255995.0,0.0,59.51008512018218
20160223,58.18,59.3,57.6968,59.2,3118611.0,0.0,54.217216524591066
20160224,60.96,62.09,57.1,57.4,5509949.0,0.0,52.941876025528984
20160225,57.1,57.8,55.78,55.91,2783161.0,0.0,55.36851129043068
20160226,54.92,55.5752,54.34,54.86,3713291.0,0.0,54.47567462342503
20160229,55.0,55.5,53.47,55.5,3161348.0,0.0,48.82289087290969
20160301,54.05,54.95,52.03,52.03,3705861.0,0.0,51.40434551740365
20160302,52.2,52.47,50.27,50.33,2696806.0,0.0,52.440885002460746
20160303,50.36,50.48,48.78,48.79,4752446.0,0.0,46.48055704005255
20160304,48.86,49.36,47.1499,47.95,4600743.0,0.0,42.51331797149563
20160307,48.58,48.63,46.25,46.39,4707320.0,0.0,46.953432325434015
20160308,47.17,49.85,47.163999999999994,49.69,5378224.0,0.0,45.29601540543037
20160309,49.2,49.96,48.69,48.94,3766826.0,0.0,43.09211669749737
20160310,48.57,51.67,48.0,50.12,5143148.0,0.0,45.61074314509075
20160311,48.88,49.08,46.74,46.95,4183206.0,0.0,50.415506855730435
20160314,47.36,47.93,46.76,47.28,3637109.0,0.0,42.67992730064469
20160315,48.2,49.72,48.1,49.37,3680803.0,0.0,41.3174117194733
20160316,50.1,50.12,47.92,48.45,3453874.0,0.0,48.35566440179916
20160317,48.73,49.28,45.5601,46.23,4758304.0,0.0,47.20347510246654
20160318,45.95,46.07,44.5,44.81,4985288.0,0.0,40.45371093146504
20160321,45.11,45.57,44.5,45.18,3972592.0,0.0,41.18126367939515
20160322,45.94,46.308,44.81,45.31,3773681.0,0.0,44.668553895258086
20160323,45.86,47.94,45.7492,47.86,5290119.0,0.0,41.355575761094
20160324,48.7,49.36,47.3957,47.44,4483091.0,0.0,42.39461020942855
20160328,47.07,48.26,46.6728,47.3,3221558.0,0.0,45.93233998711612
20160329,47.76,48.0,43.3,43.37,5766530.0,0.0,45.567780841304966
20160330,42.67,43.62,42.36,43.34,5443933.0,0.0,37.984168253296886
20160331,43.07,43.278999999999996,42.31,42.89,5353395.0,0.0,39.86016962486151
