Date,Open,High,Low,Close,Volume,OpenInt,Predictions
20160825,427.8,429.4,404.2,414.0,1413974.0,0.0,421.18525207711025
20160826,407.0,444.2,385.0,416.6,3252784.0,0.0,418.372694312394
20160829,413.8,414.0,394.8,399.8,1123634.0,0.0,420.081430048709
20160830,396.2,406.8,390.4,393.0,1181105.0,0.0,393.08446199137165
20160831,395.6,417.4,391.8,397.0,1542036.0,0.0,386.2419978003828
20160901,393.0,414.0,390.0,392.6,1557462.0,0.0,395.65083584646703
20160902,377.4,380.6,364.8,365.21,1484800.0,0.0,389.7169567119249
20160906,359.0,365.8,345.2,346.0,1264683.0,0.0,350.00551548732
20160907,346.0,348.3,335.2,336.0,1074020.0,0.0,328.7816512866013
20160908,337.2,347.2,335.4,338.6,1178853.0,0.0,322.41084297168993
20160909,366.0,450.0,363.2,448.4,3811320.0,0.0,333.1503124135334
20160912,458.4,468.0,379.0,388.6,3567822.0,0.0,500.89471900151773
20160913,420.8,522.0,418.2,493.2,4593550.0,0.0,384.6359946055142
20160914,481.8,504.16,442.4,490.0,2794821.0,0.0,543.8190032576022
20160915,489.0,507.0,441.2,452.6,1921360.0,0.0,513.5602849395395
20160916,472.8,489.2,436.0,441.6,2424108.0,0.0,445.5111378206975
20160919,411.4,435.8,394.0,418.6,1671489.0,0.0,432.54472953975875
20160920,399.0,425.6,398.4,411.8,1290950.0,0.0,402.53370938026956
20160921,400.4,412.4,343.0,348.0,2539405.0,0.0,400.39254321134206
20160922,329.2,337.4,322.8,324.0,1321515.0,0.0,310.2510410946038
20160923,327.4,333.6,321.5,329.8,1308910.0,0.0,293.16363376857856
20160926,354.8,373.2,350.2,365.6,2054520.0,0.0,317.3833652293954
20160927,365.2,371.0,322.4,327.6,1570276.0,0.0,377.42532176569614
20160928,323.6,346.4,318.8,320.6,1524992.0,0.0,314.3745633732179
20160929,323.6,383.33,313.4,360.0,3627835.0,0.0,310.5045362190502
20160930,337.0,349.4,324.4,333.0,2245272.0,0.0,374.7894383907036
20161003,340.6,345.8,327.0,329.0,1582305.0,0.0,326.77890709658436
20161004,324.4,344.2,314.8,327.8,2638833.0,0.0,323.8956094655118
20161005,320.4,325.0,317.0,322.8,1313080.0,0.0,324.6586243889258
20161006,323.8,328.8,314.2,316.6,1329569.0,0.0,318.724161981238
20161007,313.2,331.4,310.6,317.8,1782002.0,0.0,311.4561953025634
20161010,310.0,312.2,298.6,303.8,1008488.0,0.0,315.84567499236874
20161011,308.2,346.4,307.2,336.4,2578099.0,0.0,295.78946271527485
20161012,334.3,346.0,322.0,338.2,2084727.0,0.0,348.80724601043
20161013,364.2,383.4,349.0,359.4,3099213.0,0.0,345.27423421192645
20161014,338.0,356.08,333.0,351.6,2107844.0,0.0,373.57625030638246
20161017,347.2,357.6,343.0,348.2,1449776.0,0.0,354.72724417350867
20161018,329.2,334.0,319.0,320.4,1381308.0,0.0,348.04554116014685
20161019,306.0,315.0,300.2,305.2,1304835.0,0.0,306.3461911504407
20161020,306.2,312.4,295.0,297.0,1786523.0,0.0,290.5699223196847
20161021,300.2,303.0,283.6,284.6,1509906.0,0.0,285.6027725509335
20161024,271.6,272.0,262.0,264.6,1189935.0,0.0,272.69860894671115
20161025,264.0,276.0,263.4,269.0,1406704.0,0.0,248.62687405121565
20161026,281.2,285.78,270.4,282.6,1507273.0,0.0,263.26986245815743
20161027,273.6,295.0,273.0,292.8,1433872.0,0.0,286.58846491253144
20161028,294.2,328.0,287.4,317.6,3112584.0,0.0,299.91143324532624
20161031,313.8,335.98,312.4,331.8,1650621.0,0.0,333.6047003521116
20161101,332.2,382.4,332.2,351.4,3726784.0,0.0,346.89735128469727
20161102,354.0,373.6,350.22,366.4,2865731.0,0.0,368.7611433081176
20161103,365.8,416.8,362.2,407.6,3130323.0,0.0,382.5740331615913
20161104,397.0,412.6,376.2,407.8,3130950.0,0.0,436.3563107398123
20161107,338.0,345.4,304.0,306.0,2393668.0,0.0,422.1990874062323
20161108,306.4,313.8,281.4,285.4,2401281.0,0.0,261.97782377391457
20161109,317.6,319.0,262.6,271.0,5093640.0,0.0,253.1537646173322
20161110,255.2,302.2,250.8,283.6,4378751.0,0.0,247.72629159986073
20161111,293.2,299.6,268.6,270.8,2638708.0,0.0,278.36245912840917
20161114,274.0,288.4,265.62,268.4,2261081.0,0.0,261.7602925875315
20161115,262.8,268.8,245.6,246.0,2022190.0,0.0,262.6985259937335
20161116,254.6,255.0,242.4,247.8,1344548.0,0.0,231.90303883046315
20161117,247.0,248.6,232.2,232.2,1317046.0,0.0,241.6955231873815
20161118,232.6,238.4,228.0,230.4,1183498.0,0.0,221.32147811734478
20161121,224.8,225.2,209.2,210.0,1263557.0,0.0,224.08586714633566
20161122,210.0,222.2,208.2,213.2,1234866.0,0.0,196.6039471709223
20161123,217.4,220.8,211.8,213.8,1028861.0,0.0,208.14790613636822
20161125,212.6,216.8,210.6,211.4,468718.0,0.0,211.58959500581935
20161128,215.4,222.0,211.0,215.0,1342551.0,0.0,209.09427227668633
20161129,215.6,219.0,206.0,211.8,1053879.0,0.0,215.66347918531156
20161130,205.6,214.2,204.6,212.0,1513095.0,0.0,210.52104789805793
20161201,211.0,236.44,209.6,228.6,2014040.0,0.0,211.46461645005348
20161202,231.2,233.6,215.8,228.8,1815103.0,0.0,236.67972313155167
20161205,212.6,214.72,197.0,198.6,1621599.0,0.0,232.91805763939226
20161206,190.6,193.2,182.6,184.2,1352794.0,0.0,185.46407437979855
20161207,183.0,187.8,175.6,185.4,1861804.0,0.0,170.42854131421993
20161208,185.8,199.4,184.0,186.2,2372009.0,0.0,179.15569312353364
20161209,189.8,190.2,180.8,182.8,1430268.0,0.0,183.49733515134733
20161212,182.6,189.0,181.8,185.0,1233442.0,0.0,179.74673791548716
20161213,184.2,194.8,183.0,188.6,1322273.0,0.0,184.58790151385813
20161214,190.4,192.0,176.2,187.4,2665545.0,0.0,190.20504921921008
20161215,181.6,186.8,178.6,181.6,1241576.0,0.0,187.59476481435448
20161216,177.2,182.2,175.0,177.0,1325203.0,0.0,178.78079996288648
20161219,173.0,173.2,164.2,164.6,1282726.0,0.0,173.28547444776873
20161220,161.4,162.2,156.4,158.2,1091344.0,0.0,156.51871373989746
20161221,156.4,157.2,152.4,153.4,933506.0,0.0,150.96400759140755
20161222,153.2,159.8,151.6,157.8,1087372.0,0.0,147.38874137902465
20161223,159.8,161.2,156.2,156.6,727858.0,0.0,157.02316492879794
20161227,156.6,156.8,151.2,152.6,605905.0,0.0,155.61041166447131
20161228,151.0,163.6,150.0,163.2,1310176.0,0.0,150.09688031528444
20161229,163.8,172.2,160.8,167.6,1968369.0,0.0,167.28467566516144
20161230,164.0,178.4,164.0,175.0,1735237.0,0.0,171.8432092261926
20170103,160.6,162.8,149.4,150.0,1673596.0,0.0,180.83033355144258
20170104,146.2,146.2,131.4,134.6,1603253.0,0.0,140.32991646834384
20170105,136.8,141.6,133.2,133.6,1344775.0,0.0,122.04911599177626
20170106,131.0,133.0,124.6,130.2,1728458.0,0.0,126.85649653159598
20170109,131.6,133.6,125.6,129.6,1128883.0,0.0,125.1374925066112
20170110,126.6,131.4,124.6,127.6,1071551.0,0.0,126.78108387438482
20170111,128.2,132.8,121.4,122.4,1883048.0,0.0,125.19280568216877
20170112,124.24,134.52,121.82,122.08,7378347.0,0.0,118.58868169358387
20170113,120.88,125.2,119.2,122.52,3399509.0,0.0,120.02399262626334
20170117,125.92,126.68,120.72,121.6,3887514.0,0.0,121.71889615873268
20170118,120.36,121.96,117.08,120.76,3475083.0,0.0,120.73911923336112
20170119,119.12,125.4,118.36,123.24,3666557.0,0.0,119.90961725057139
20170120,120.6,121.54,113.6,113.6,5459147.0,0.0,124.0640142281584
20170123,114.0,118.2,111.64,111.8,4505071.0,0.0,109.1630838834344
20170124,108.92,109.24,100.36,101.36,4828249.0,0.0,108.68883065554077
20170125,98.44,99.28299999999999,95.72,96.4,3534189.0,0.0,94.56415946195963
20170126,97.24,99.64,95.48,97.64,4181617.0,0.0,90.52715395142465
20170127,97.0,98.6,94.72,95.32,3037030.0,0.0,95.34323479771362
20170130,99.28,108.92,99.24,100.8,7749525.0,0.0,93.01155291883421
20170131,102.44,106.12,99.6,99.68,5769890.0,0.0,102.4072998105065
20170201,95.84,99.053,94.16,96.56,4994026.0,0.0,99.91611280735994
20170202,98.04,99.8,96.12,97.88,4314614.0,0.0,95.10878225020228
20170203,93.92,95.2,91.92,94.12,3888542.0,0.0,97.8220487970147
20170206,96.04,96.52,92.92,93.88,4259029.0,0.0,92.20079497307557
20170207,93.48,95.64,93.0,95.28,3567880.0,0.0,92.80503738032007
20170208,96.0,98.24,93.28,94.48,4511481.0,0.0,95.44935696235042
20170209,93.68,93.92,88.8,90.6,3699491.0,0.0,94.16200013544977
20170210,88.6,89.04,86.44,87.64,3622966.0,0.0,88.49115892829228
