Date,Open,High,Low,Close,Volume,OpenInt,Predictions
20131010,304.65,306.7,302.59,305.17,2556190.0,0.0,298.356112461593
20131011,304.77,310.93,303.84,310.89,2162268.0,0.0,305.3332445609218
20131014,309.22,311.64,307.0,310.7,1938900.0,0.0,310.48175022909027
20131015,309.92,310.79,305.26,306.4,2261100.0,0.0,310.78833839996076
20131016,308.38,310.8,305.55,310.49,2178262.0,0.0,306.68002929479394
20131017,307.0,311.0,305.24,310.77,2645160.0,0.0,310.73459063601337
20131018,319.39,331.89,316.75,328.93,5969400.0,0.0,310.4760055236319
20131021,329.89,330.0,323.8,326.44,2525777.0,0.0,328.82577071246527
20131022,327.72,337.11,325.68,332.54,3941628.0,0.0,325.415505339816
20131023,330.84,331.72,324.06,326.76,2816776.0,0.0,332.8939769080745
20131024,329.64,332.65,326.75,332.21,5832056.0,0.0,326.1572450558655
20131025,358.6,368.4,352.62,363.39,12039315.0,0.0,332.28846224351173
20131028,359.92,362.75,357.2,358.16,3635186.0,0.0,362.2297372009234
20131029,358.96,362.89,356.29,362.7,2190674.0,0.0,356.3269946684407
20131030,362.61,365.0,358.65,361.08,4504134.0,0.0,363.3006813496639
20131031,361.89,366.0,359.0,364.03,2466937.0,0.0,360.08437567024816
20131101,365.14,365.77,356.1,359.0,3332100.0,0.0,363.7447202595187
20131104,360.12,361.0,354.4,358.74,1940496.0,0.0,358.32367506892086
20131105,356.78,360.17,354.84,358.89,2007000.0,0.0,358.6248866602235
20131106,360.45,362.87,354.5,356.18,2287377.0,0.0,358.34069476698005
20131107,355.86,357.9,341.88,343.56,4249496.0,0.0,355.88439546163016
20131108,345.95,351.05,344.04,350.31,2649912.0,0.0,343.5574204823523
20131111,350.59,355.37,348.06,354.38,2262069.0,0.0,350.496173930257
20131112,352.99,355.48,347.28,349.53,2343800.0,0.0,353.4934304693941
20131113,347.4,356.22,345.68,356.22,2774336.0,0.0,349.5181319735644
20131114,357.39,368.94,356.43,367.4,4163658.0,0.0,356.30835588076394
20131115,367.63,372.9,365.55,369.17,4492700.0,0.0,366.66303974191067
20131118,370.62,373.49,364.67,366.18,2738200.0,0.0,368.69732610364224
20131119,365.82,368.78,362.5,364.94,1902847.0,0.0,366.25226749184003
20131120,367.56,367.56,360.45,362.57,1772325.0,0.0,364.91308627055014
20131121,364.01,369.25,363.3,368.92,1965600.0,0.0,362.3821983139736
20131122,370.0,374.5,366.31,372.31,2967224.0,0.0,368.75403321299933
20131125,373.82,377.79,373.18,376.64,2972200.0,0.0,371.73825938183217
20131126,377.61,382.5,374.82,381.37,2730498.0,0.0,376.47695658136735
20131127,383.5,387.0,382.61,386.71,2269000.0,0.0,380.99044661119535
20131129,389.1,394.1,388.62,393.62,2405985.0,0.0,386.3319885479101
20131202,399.0,399.0,389.1,392.3,4714800.0,0.0,393.1508146111106
20131203,390.11,390.95,383.1,384.66,3703940.0,0.0,391.8483424460681
20131204,383.26,389.69,381.49,385.96,2355700.0,0.0,384.70637711224293
20131205,386.15,386.65,381.37,384.49,1906400.0,0.0,385.99200736734014
20131206,388.35,388.35,383.83,386.95,1986731.0,0.0,384.04120218273164
20131209,388.19,388.21,382.57,384.89,2764148.0,0.0,386.9650685029245
20131210,383.74,389.06,383.02,387.78,2739832.0,0.0,384.6779807696402
20131211,387.71,388.98,382.0,382.19,2449615.0,0.0,387.91217451257893
20131212,381.26,385.0,379.5,381.25,2123426.0,0.0,382.03142446151577
20131213,385.32,389.42,383.8,384.24,3024954.0,0.0,381.6510907865343
20131216,385.03,391.7,385.0,388.97,2256868.0,0.0,384.0988224491884
20131217,391.0,391.36,386.5,387.65,2347335.0,0.0,388.8362924290026
20131218,389.23,396.3,383.1,395.96,3491201.0,0.0,387.56540011463085
20131219,394.27,397.29,392.6,395.19,2429098.0,0.0,396.05041485185257
20131220,396.55,404.72,395.78,402.2,5037682.0,0.0,394.7122103749727
20131223,403.69,405.0,399.2,402.92,2659505.0,0.0,402.30741851601454
20131224,402.52,403.72,396.37,399.2,1380373.0,0.0,402.3894740927085
20131226,401.79,404.52,396.81,404.39,1869140.0,0.0,399.31489544027113
20131227,404.65,405.63,396.25,398.08,1987106.0,0.0,404.31577649790955
20131230,399.41,399.92,392.45,393.37,2486905.0,0.0,397.7309544832143
20131231,394.58,398.83,393.8,398.79,1996507.0,0.0,393.85919300218166
20140102,398.8,399.36,394.02,397.97,2140046.0,0.0,398.69212768680177
20140103,398.29,402.71,396.22,396.44,2212891.0,0.0,397.68276463300555
20140106,395.85,397.0,388.42,393.63,3172058.0,0.0,396.7679306512796
20140107,395.04,398.47,394.29,398.03,1916210.0,0.0,393.781647268969
20140108,398.47,403.0,396.04,401.92,2316680.0,0.0,398.15880831551686
20140109,403.71,406.89,398.44,401.01,2103505.0,0.0,401.64734996075777
20140110,402.53,403.76,393.8,397.66,2679618.0,0.0,401.069704716405
20140113,397.98,399.78,388.45,390.98,2845556.0,0.0,397.9030366219341
20140114,392.13,398.63,391.29,397.54,2340147.0,0.0,391.2754817925098
20140115,398.94,399.31,392.53,395.87,2678555.0,0.0,397.762243508544
20140116,393.68,399.29,389.41,395.8,2602111.0,0.0,395.5221648230234
20140117,394.26,403.49,393.66,399.61,4508341.0,0.0,396.2657434283811
20140121,402.81,407.8,401.6,407.05,3122240.0,0.0,399.5766019191939
20140122,408.0,408.06,402.0,404.54,2068166.0,0.0,406.85526338983345
20140123,401.0,406.17,397.79,399.87,3025785.0,0.0,404.35568930673
20140124,398.16,400.2,387.27,387.6,4507597.0,0.0,400.2871949281823
20140127,390.5,394.1,380.49,386.28,3942642.0,0.0,387.9375377852791
20140128,387.4,394.74,387.12,394.43,2896827.0,0.0,386.9220078233196
20140129,392.16,392.85,383.24,384.2,3388959.0,0.0,394.2873435354635
20140130,393.77,406.25,387.7,403.01,10794857.0,0.0,384.2713961728295
20140131,372.2,375.45,357.76,358.69,16173786.0,0.0,403.61465741163727
20140203,358.94,360.85,340.1,346.15,10286809.0,0.0,360.17896487341534
20140204,349.52,354.0,344.02,347.95,4819605.0,0.0,349.29271308361683
20140205,345.79,349.37,337.73,346.45,4437777.0,0.0,347.4830884557449
20140206,347.93,354.82,347.4,354.59,3340099.0,0.0,347.87111123717153
20140207,358.98,361.8,352.49,361.08,4346552.0,0.0,353.9509625954029
20140210,361.61,365.0,359.35,360.87,3449710.0,0.0,360.7680043016113
20140211,361.84,363.61,356.25,361.79,3224351.0,0.0,360.8032374625193
20140212,356.43,357.75,346.32,349.25,6594798.0,0.0,361.6677326914814
20140213,347.7,357.2,346.5,357.2,4180370.0,0.0,349.41857196673135
20140214,359.34,359.34,353.35,357.35,3524262.0,0.0,357.5826179605107
20140218,355.28,355.73,349.45,353.65,4999925.0,0.0,356.9223382557692
20140219,352.64,354.54,346.1,347.38,4174567.0,0.0,354.4282547325251
20140220,348.8,350.46,344.38,349.8,3495714.0,0.0,347.5784282743554
20140221,352.44,354.14,346.75,346.76,4211362.0,0.0,350.19128466071436
