Date,Open,High,Low,Close,Volume,OpenInt,Predictions
20150430,86.25,86.62,85.66,85.84,507800.0,0.0,86.91349263066886
20150501,86.05,86.93,85.62,86.49,260600.0,0.0,85.88597807923624
20150504,86.9,87.96,86.58,87.49,367800.0,0.0,86.58956631835483
20150505,87.02,87.93,86.54,87.24,595800.0,0.0,87.5393461709971
20150506,86.76,87.91,84.09,84.32,501758.0,0.0,87.22952615557251
20150507,84.15,86.58,84.14,86.22,643993.0,0.0,84.30713279885242
20150508,87.09,87.09,85.99,86.69,330300.0,0.0,86.28690741014127
20150511,86.41,86.87,86.18,86.38,298500.0,0.0,86.70213131787953
20150512,86.04,86.98,85.36,86.905,499201.0,0.0,86.40356409865065
20150513,87.38,88.29,86.8,88.2,504391.0,0.0,86.94336951053016
20150514,88.7,90.7,88.34,90.48,946400.0,0.0,88.2344194221539
20150515,90.27,90.49,89.32,89.7,524112.0,0.0,90.49066179581898
20150518,89.33,90.63,89.08,90.32,247439.0,0.0,89.67017965229157
20150519,90.65,90.83,89.85,90.11,236048.0,0.0,90.30735203033085
20150520,90.4,90.64,89.971,90.51,304490.0,0.0,90.09079483715988
20150521,90.05,90.87,89.96,90.22,229000.0,0.0,90.51169971460556
20150522,89.93,90.44,89.88,90.03,151500.0,0.0,90.15229993163422
20150526,89.45,89.45,88.8,89.12,263700.0,0.0,89.91927542036692
20150527,89.04,89.91,88.91,89.83,226000.0,0.0,89.10899185849881
20150528,89.97,90.03,89.25,89.71,189681.0,0.0,89.8943868363289
20150529,89.71,89.71,88.75,89.0,374800.0,0.0,89.72898972737099
20150601,89.38,89.74,88.404,89.41,272150.0,0.0,88.99514766916258
20150602,88.93,89.58,88.86,89.53,428719.0,0.0,89.41101495039418
20150603,89.76,91.15,89.48,91.02,352700.0,0.0,89.52697795249854
20150604,90.54,90.94,89.53,89.64,286900.0,0.0,91.04957249846035
20150605,89.46,90.13,88.98,90.12,210900.0,0.0,89.62294294610294
20150608,90.04,90.2,88.8,88.82,322300.0,0.0,90.1165218181698
20150609,88.57,89.12,88.02,88.8,299365.0,0.0,88.83989261424763
20150610,89.06,90.73,88.82,90.51,287781.0,0.0,88.89122061726458
20150611,90.43,91.99,90.02,91.8,472828.0,0.0,90.5152650919986
20150612,91.73,91.85,90.7,90.88,731500.0,0.0,91.77270244829401
20150615,90.39,90.74,87.93,88.77,423400.0,0.0,90.8597110854863
20150616,88.93,90.58,88.62,89.87,341800.0,0.0,88.75756151115374
20150617,89.93,90.1,89.23,89.87,207700.0,0.0,89.99190094859502
20150618,89.96,90.8,89.48,90.72,280500.0,0.0,89.91047874306145
20150619,90.9,91.18,90.38,90.92,498700.0,0.0,90.71938028371227
20150622,91.53,91.99,91.13,91.8,292900.0,0.0,90.90548518387068
20150623,91.98,92.18,91.63,91.95,362587.0,0.0,91.78730503030756
20150624,91.69,91.98,90.99,91.09,249700.0,0.0,91.90029740620298
20150625,91.31,92.19,91.31,91.87,351400.0,0.0,91.0806539136115
20150626,91.71,92.46,91.69,92.19,728200.0,0.0,91.8615510283762
20150629,91.5,92.15,90.96,91.0,470800.0,0.0,92.1713051784744
20150630,91.46,91.755,90.48,91.24,401470.0,0.0,90.98272649895574
20150701,91.99,92.2,90.93,91.51,368200.0,0.0,91.245406478343
20150702,91.42,91.88,90.77,91.41,247100.0,0.0,91.54988454651652
20150706,90.6,91.37,90.6,90.87,263700.0,0.0,91.43421168151289
20150707,90.92,91.52,89.53,91.51,279300.0,0.0,90.90376713628761
20150708,90.69,91.38,89.93,90.72,507900.0,0.0,91.5716151280811
20150709,91.74,91.97,91.19,91.4,298800.0,0.0,90.7428678189589
20150710,92.25,92.62,91.7,92.43,339800.0,0.0,91.46610627849712
20150713,92.65,93.29,92.44,93.05,271000.0,0.0,92.44859972382574
20150714,93.3,93.3,92.15,92.81,398871.0,0.0,93.04249927673744
20150715,92.66,93.33,92.48,92.71,279032.0,0.0,92.79422965469264
20150716,93.41,93.82,92.57,93.72,249800.0,0.0,92.69973841116992
20150717,93.59,93.93,92.69,92.96,300400.0,0.0,93.71800793491776
20150720,93.13,93.25,92.55,93.01,205100.0,0.0,92.80432458096512
20150721,92.84,93.07,91.49,91.53,420200.0,0.0,93.02501739962109
20150722,91.0,93.61,91.0,93.36,312200.0,0.0,91.51203282303925
20150723,93.74,94.35,93.22,93.49,424800.0,0.0,93.37256105243145
20150724,93.27,94.28,92.35,92.94,312200.0,0.0,93.49018600570427
20150727,92.6,92.89,91.26,91.31,222600.0,0.0,92.92162499784465
20150728,91.92,92.46,91.22,92.0,619000.0,0.0,91.34899105358019
20150729,91.77,93.33,91.51,92.99,225100.0,0.0,92.12269527527019
20150730,92.56,94.21,92.39,93.71,238200.0,0.0,92.98083952763008
20150731,93.99,94.86,93.49,94.15,314400.0,0.0,93.70736644041516
20150803,94.2,94.55,93.22,94.54,356419.0,0.0,94.11569689525093
20150804,94.67,95.27,94.29,95.23,374800.0,0.0,94.4972770762329
20150805,90.47,95.56,90.0,94.02,861100.0,0.0,95.18267057472778
20150806,94.91,95.3,92.02,92.96,511858.0,0.0,93.95990619590671
20150807,92.86,94.66,92.86,93.76,359900.0,0.0,92.96215820329681
20150810,94.23,95.7,93.53,95.31,327600.0,0.0,93.74313869788025
20150811,94.05,95.69,93.86,94.27,257595.0,0.0,95.28459560153418
20150812,93.87,94.67,92.69,94.39,388500.0,0.0,94.21888686517428
20150813,94.3,95.17,93.92,94.33,327900.0,0.0,94.4159601922276
20150814,94.14,94.43,93.45,94.26,470000.0,0.0,94.32126844035545
20150817,93.69,96.53,93.69,96.51,515300.0,0.0,94.28911874280402
20150818,96.79,97.59,96.59,97.06,480200.0,0.0,96.53456385922078
20150819,96.99,97.09,95.69,96.15,335300.0,0.0,96.96043897946049
20150820,95.67,96.24,93.2,93.24,386100.0,0.0,96.11106240862257
20150821,92.36,93.32,90.84,90.92,540400.0,0.0,93.20518566421559
20150824,87.55,89.21,84.9,85.63,889686.0,0.0,91.09696492047857
20150825,90.24,90.24,85.54,85.75,858300.0,0.0,85.85702083523374
20150826,87.8,88.25,85.86,87.75,630800.0,0.0,86.25213769619792
20150827,88.94,90.15,88.0,89.79,418900.0,0.0,88.17098122457713
20150828,89.15,90.12,88.65,89.74,329500.0,0.0,90.01709655327141
20150831,89.55,89.9,88.36,88.6,390500.0,0.0,89.78477608592543
20150901,86.69,88.0,86.37,86.57,523500.0,0.0,88.63089491856888
20150902,87.88,88.89,86.54,88.87,594500.0,0.0,86.65520188570149
20150903,89.14,90.58,88.61,90.09,421500.0,0.0,89.10153602666767
20150904,89.0,90.39,89.0,89.72,444800.0,0.0,90.12783572394916
20150908,91.25,92.78,90.96,92.47,356000.0,0.0,89.66905058722638
20150909,92.66,93.37,90.71,90.88,299100.0,0.0,92.4885777586535
20150910,90.86,92.24,90.35,91.65,351612.0,0.0,90.70909655328882
20150911,90.8,92.24,90.8,92.23,208900.0,0.0,91.6353047237323
20150914,92.36,92.36,91.18,91.39,150900.0,0.0,92.17994882746979
20150915,92.2,92.71,91.36,92.37,202000.0,0.0,91.31854773011545
20150916,92.22,92.88,92.0,92.79,212800.0,0.0,92.38070029099599
20150917,92.63,93.76,92.14,92.36,297170.0,0.0,92.7457016819285
20150918,90.86,92.33,90.62,90.95,501600.0,0.0,92.3055059681224
20150921,91.8,93.15,91.52,92.23,218900.0,0.0,90.9375354924699
20150922,91.0,91.24,90.26,90.87,373900.0,0.0,92.32368256313974
20150923,90.83,91.5,90.3,90.86,177490.0,0.0,90.86520793594678
20150924,90.29,91.19,89.81,90.68,331809.0,0.0,90.94902779767608
20150925,91.45,91.75,89.46,89.94,430700.0,0.0,90.75676413489519
20150928,89.65,90.19,88.16,88.29,512494.0,0.0,90.01642141641193
20150929,88.58,88.64,86.69,86.92,528600.0,0.0,88.39724686025184
20150930,87.99,88.53,86.83,88.14,696000.0,0.0,87.10599777378229
20151001,88.31,88.81,86.41,87.34,574600.0,0.0,88.3840133611756
20151002,86.43,88.27,85.33,88.24,498000.0,0.0,87.45647976899005
20151005,89.03,89.98,88.45,89.74,344549.0,0.0,88.39038126728742
20151006,89.48,89.9,88.37,88.89,257200.0,0.0,89.81526710868182
20151007,89.11,89.82,88.46,89.66,323047.0,0.0,88.85946572841794
20151008,89.14,90.28,88.92,90.25,249400.0,0.0,89.69889419761515
20151009,90.33,92.02,88.44,91.81,295700.0,0.0,90.24251857504451
20151012,91.66,92.1,91.24,91.87,165483.0,0.0,91.78116900783473
20151013,91.8,92.26,90.2,91.37,207100.0,0.0,91.76021852853935
20151014,91.37,91.96,90.19,90.26,187300.0,0.0,91.28575710004397
20151015,90.66,91.36,89.93,90.82,375500.0,0.0,90.22821068847846
20151016,91.03,92.34,90.45,92.15,275900.0,0.0,90.87267632249505
20151019,91.57,93.88,91.4,93.29,412017.0,0.0,92.16876959932878
20151020,93.24,93.77,91.87,92.07,223500.0,0.0,93.23423451775881
20151021,92.43,92.6,91.4,91.57,226000.0,0.0,91.95826409668824
20151022,91.92,93.79,91.76,93.08,258400.0,0.0,91.56524920987194
20151023,93.91,93.99,92.38,93.58,421600.0,0.0,93.12084569155539
20151026,93.65,94.91,93.65,94.35,285600.0,0.0,93.52654823585381
20151027,93.81,94.68,93.33,94.0,299400.0,0.0,94.28819383113809
20151028,94.37,97.12,94.17,97.07,326900.0,0.0,93.91025920211992
20151029,96.85,96.85,94.99,95.52,255700.0,0.0,97.04198751848085
20151030,95.45,96.08,94.99,95.31,474200.0,0.0,95.3143479451214
20151102,95.76,97.53,95.2,97.43,403453.0,0.0,95.25181346629077
20151103,97.18,97.775,96.274,97.21,638281.0,0.0,97.41059373918895
20151104,97.26,98.39,95.525,97.77,392369.0,0.0,97.07583646985113
20151105,91.22,95.72,90.82,93.39,1363700.0,0.0,97.68985363375269
20151106,93.19,94.73,93.02,93.52,778000.0,0.0,93.29956414107063
20151109,93.21,93.21,91.91,92.2,506571.0,0.0,93.71642730763423
20151110,92.56,92.63,91.4,92.16,600300.0,0.0,92.34825310359176
20151111,92.24,92.33,91.34,91.45,626800.0,0.0,92.35920354719227
20151112,90.76,91.86,90.57,90.59,411500.0,0.0,91.61634524084197
20151113,90.31,92.66,89.14,89.58,449600.0,0.0,90.76828923628725
20151116,89.21,90.2,88.88,90.17,616500.0,0.0,89.77510652058409
20151117,90.42,91.16,89.83,90.26,330500.0,0.0,90.3889325837784
20151118,90.37,90.98,89.63,90.73,510100.0,0.0,90.40863692519086
20151119,90.97,91.7,90.86,91.5,626300.0,0.0,90.85087878349255
20151120,91.24,91.98,90.78,91.63,373500.0,0.0,91.57840130707719
20151123,91.9,92.96,91.49,92.33,438100.0,0.0,91.65713566615634
20151124,92.11,92.86,91.2,92.53,395700.0,0.0,92.35243175519588
20151125,92.42,93.19,92.42,92.86,297900.0,0.0,92.51658422536916
20151127,92.92,93.78,92.57,93.66,142500.0,0.0,92.84539954095705
20151130,93.71,94.22,92.86,93.21,550000.0,0.0,93.63753015159254
20151201,93.44,94.57,93.1,94.18,530910.0,0.0,93.1548444018117
20151202,94.08,94.41,93.37,93.43,253472.0,0.0,94.16685766838467
20151203,93.3,94.26,92.0,92.36,517392.0,0.0,93.37417945252469
20151204,92.65,93.82,92.28,93.65,372400.0,0.0,92.36258202073259
20151207,93.37,93.82,92.35,92.83,319800.0,0.0,93.7160445105899
20151208,92.25,94.13,91.45,92.9,765350.0,0.0,92.8217627997763
20151209,92.31,93.29,90.44,90.58,380900.0,0.0,92.94382371745304
20151210,90.78,92.15,90.64,91.03,350600.0,0.0,90.62198988822831
20151211,90.33,91.39,89.63,89.76,229500.0,0.0,91.19260818046176
20151214,90.05,90.66,89.48,90.11,399996.0,0.0,89.87634739855905
20151215,91.19,91.74,90.46,90.97,353300.0,0.0,90.27577506033344
20151216,91.35,92.12,89.99,91.73,288200.0,0.0,91.09191820402887
20151217,92.25,92.97,91.06,91.36,591500.0,0.0,91.78970225906234
20151218,91.36,91.37,89.53,90.6,1146700.0,0.0,91.376030152496
20151221,91.03,91.94,90.25,91.09,338000.0,0.0,90.63999515720221
20151222,91.4,92.04,90.62,91.85,297696.0,0.0,91.16779203571916
20151223,92.27,93.42,92.01,93.3,232000.0,0.0,91.89258558004873
20151224,92.92,93.67,92.19,93.35,132593.0,0.0,93.29927934112231
20151228,93.19,94.22,93.0,93.83,346598.0,0.0,93.27967350914975
20151229,94.25,95.0,93.18,94.36,251166.0,0.0,93.77637488344872
20151230,94.17,94.93,93.62,93.72,176178.0,0.0,94.29720095809142
20151231,93.59,94.167,92.27,92.5,244075.0,0.0,93.64842762845167
20160104,91.4,91.62,89.24,90.1,403769.0,0.0,92.48302086692519
20160105,90.14,90.92,89.39,89.42,257373.0,0.0,90.1570866596139
20160106,88.47,89.1,88.0,88.29,334562.0,0.0,89.60122742813253
20160107,87.18,88.18,86.38,87.23,495689.0,0.0,88.47707675981049
20160108,87.71,87.81,85.22,85.4,355635.0,0.0,87.44569562447289
20160111,85.73,85.73,84.1,85.27,273779.0,0.0,85.62948000918877
20160112,86.3,87.72,85.47,86.41,313254.0,0.0,85.56007716125089
20160113,86.87,87.03,84.085,84.45,336989.0,0.0,86.66973345912439
20160114,84.66,85.66,83.64,84.9,462960.0,0.0,84.600456792986
20160115,82.76,85.03,82.0001,84.97,497229.0,0.0,85.13181677660704
20160119,85.43,85.7,83.89,84.99,477200.0,0.0,85.14394863116144
20160120,84.15,85.25,82.15,84.71,456232.0,0.0,85.1352642382475
20160121,85.22,85.98,83.9,85.07,658911.0,0.0,84.83246226128756
20160122,86.09,87.42,85.735,86.8,267605.0,0.0,85.19216246177459
20160125,86.33,86.79,84.4907,84.8,239876.0,0.0,86.8964888183326
20160126,85.35,87.055,84.73,86.57,241161.0,0.0,84.79008415796648
20160127,86.17,87.02,84.25,84.6,292039.0,0.0,86.6694576747625
20160128,85.5,85.5,84.47,85.1,264537.0,0.0,84.60606548707628
20160129,85.58,88.2,84.57700000000001,88.19,264931.0,0.0,85.20091334813414
20160201,87.35,88.84,86.8,88.24,319836.0,0.0,88.25115288543206
20160202,87.64,88.995,86.44,86.82,220874.0,0.0,88.152945465521
20160203,87.79,87.79,86.04,87.39,247868.0,0.0,86.75001226113767
20160204,87.11,88.78,86.775,88.18,261782.0,0.0,87.40372992877616
20160205,88.11,88.14,84.51,84.7,338066.0,0.0,88.16813955280212
20160208,83.52,84.07,80.52,81.92,1271021.0,0.0,84.6710740679789
20160209,81.29,84.13,80.51,83.1,317427.0,0.0,82.06572608948214
20160210,83.64,86.41,83.5801,83.94,310233.0,0.0,83.36918909671671
20160211,82.65,84.16,82.64,83.5,318550.0,0.0,84.10776878556042
20160212,84.5,85.225,83.5515,84.06,289634.0,0.0,83.60012581097331
20160216,84.81,85.4901,83.89,84.05,503093.0,0.0,84.16989522366785
20160217,84.51,86.8,84.23,86.18,473982.0,0.0,84.11721179313977
20160218,86.4,87.1,85.01,85.57,437522.0,0.0,86.24020926660378
20160219,85.38,87.93,85.32,87.59,365290.0,0.0,85.51790917774264
20160222,88.2,89.04,87.25,88.52,208681.0,0.0,87.58092266399778
20160223,88.42,88.42,86.4,86.49,358485.0,0.0,88.41950701256768
20160224,85.81,86.85,85.16,86.54,615873.0,0.0,86.36693379245953
20160225,88.38,88.38,82.45,84.22,1385868.0,0.0,86.54404667036978
20160226,84.42,84.94,83.18,84.06,828518.0,0.0,84.23214709879143
20160229,84.22,84.3,82.99,83.02,391237.0,0.0,84.19017934164158
20160301,83.43,86.4,83.43,86.05,1118220.0,0.0,83.14244804645392
20160302,86.26,86.96,85.61,86.07,549219.0,0.0,86.20009118667454
20160303,86.51,86.78,85.61,86.26,502916.0,0.0,86.05136720640218
20160304,86.07,87.57,85.38,87.07,474297.0,0.0,86.24835553656577
20160307,86.63,88.07,86.58,87.69,371575.0,0.0,87.05370816509563
20160308,86.79,87.27,86.09,86.18,249840.0,0.0,87.64057305835901
20160309,86.33,86.88,85.31,86.84,390021.0,0.0,86.11938695974662
20160310,87.11,87.85,85.27,86.08,284046.0,0.0,86.86592672665178
20160311,86.7,86.91,86.14,86.53,322651.0,0.0,86.07867333688958
20160314,85.72,86.39,85.52,85.91,348700.0,0.0,86.56867078677749
20160315,85.57,86.43,85.32,86.23,293663.0,0.0,85.92906199593479
20160316,86.06,87.3,86.06,87.08,219928.0,0.0,86.27919671057084
20160317,86.78,88.45,86.63,87.98,365244.0,0.0,87.10706324559924
20160318,87.35,88.61,86.76,87.67,738805.0,0.0,87.96322275991163
20160321,87.55,88.4,87.3,87.52,282931.0,0.0,87.61972051026356
20160322,86.69,87.71,86.69,87.48,278604.0,0.0,87.49933191272244
20160323,87.47,87.92,86.77,87.11,272880.0,0.0,87.47575692964479
20160324,86.82,87.65,86.4359,87.3,363997.0,0.0,87.1156098433867
20160328,87.38,87.4799,86.5,87.16,162968.0,0.0,87.32708578591199
20160329,87.03,89.07,87.03,88.74,336396.0,0.0,87.17952180294131
20160330,88.9,89.37,88.04,88.57,308980.0,0.0,88.76101101672188
20160331,88.57,89.68,87.91,89.46,323465.0,0.0,88.51798868310418
20160401,88.55,90.11,87.87,90.1,271465.0,0.0,89.42639210288115
20160404,90.03,90.04,89.0,89.23,179007.0,0.0,90.0325436223123
20160405,88.59,88.95,87.94,88.01,220711.0,0.0,89.15296273427035
20160406,87.9,89.36,87.645,89.12,252334.0,0.0,87.99848558863758
20160407,88.62,88.84,86.74,87.26,243377.0,0.0,89.16988746386751
20160408,88.0,88.3,87.3,87.67,118189.0,0.0,87.26437480462812
20160411,87.94,88.3,87.34,87.49,195868.0,0.0,87.76341483554974
20160412,87.49,87.49,86.21,86.57,341660.0,0.0,87.55522940014147
20160413,87.41,89.29,87.0675,89.17,454366.0,0.0,86.64363618074712
20160414,89.33,89.46,88.43,88.52,190761.0,0.0,89.26133562125608
20160415,88.39,89.87,87.8176,89.81,334250.0,0.0,88.48802182818032
20160418,89.35,90.35,89.2,90.15,202042.0,0.0,89.80743617253856
20160419,90.27,90.99,89.76,90.94,369661.0,0.0,90.09361930141571
20160420,90.83,91.15,89.3475,90.87,219285.0,0.0,90.87742229738697
20160421,91.14,91.57,90.28,90.66,160567.0,0.0,90.78899554230787
20160422,90.46,91.28,88.91,91.0,458394.0,0.0,90.60261525159545
20160425,90.55,91.54,90.11,91.49,293308.0,0.0,90.96428362499819
20160426,91.29,91.7,90.7,91.37,257353.0,0.0,91.44703119454726
20160427,91.24,91.74,90.8,91.62,187603.0,0.0,91.3190841660064
20160428,91.44,91.75,89.95,90.56,191540.0,0.0,91.58653219998567
20160429,90.49,91.07,89.5,90.77,325204.0,0.0,90.53493103662436
20160502,90.74,92.48,90.36,92.24,352825.0,0.0,90.79960354070805
20160503,91.59,91.89,90.59,91.3,197019.0,0.0,92.24986458424158
20160504,91.14,91.14,89.51,89.96,438581.0,0.0,91.25686885377499
20160505,85.14,87.68,83.19,83.76,1746057.0,0.0,89.98164606416042
20160506,81.41,85.28,81.41,84.61,1276615.0,0.0,83.86988854293874
20160509,84.45,86.48,84.16,85.71,460743.0,0.0,84.99259307859427
20160510,85.64,86.62,85.145,86.49,690075.0,0.0,85.99686444012002
20160511,86.17,87.11,85.6001,86.15,480101.0,0.0,86.6805563751007
20160512,86.67,87.09,85.69,86.5,466210.0,0.0,86.27951003989754
20160513,86.43,86.88,83.91,85.83,382443.0,0.0,86.62759876777956
20160516,86.06,87.3495,86.01,86.49,361350.0,0.0,85.92914878480498
20160517,86.36,87.57,84.74799999999999,85.19,440544.0,0.0,86.60565606130906
20160518,85.03,86.29,84.88,85.22,674049.0,0.0,85.26898753874447
20160519,84.76,85.21,83.45,85.01,657036.0,0.0,85.35102118100019
20160520,85.12,86.81,84.815,86.25,730448.0,0.0,85.12427299838097
20160523,86.34,86.87,86.11,86.79,372657.0,0.0,86.35252432066366
20160524,87.16,88.865,86.83,88.63,437639.0,0.0,86.82034392039077
20160525,88.75,89.2868,87.37,87.98,633058.0,0.0,88.62593204662822
20160526,87.79,88.95,87.21,88.28,428439.0,0.0,87.90052142197239
20160527,88.15,89.08,87.9,89.06,355100.0,0.0,88.2467220164713
20160531,89.26,90.13,88.88,89.1,2083755.0,0.0,89.01861063838
20160601,88.53,89.04,87.8,88.37,509078.0,0.0,89.03478478659711
20160602,88.4,88.94,87.83,88.94,350117.0,0.0,88.32328469233269
20160603,88.09,88.34,87.09,88.2,378562.0,0.0,88.93507816378367
20160606,88.3,88.93,88.14,88.44,244126.0,0.0,88.18075659248483
20160607,88.48,88.87,88.23,88.49,341076.0,0.0,88.46060432000962
20160608,88.71,88.9025,88.1,88.82,244554.0,0.0,88.50139418426393
20160609,88.77,89.03,88.04,88.99,327270.0,0.0,88.8300737931603
20160610,87.94,88.83,86.4921,87.5,306779.0,0.0,88.98756792259275
20160613,86.6,87.67,86.25,87.0,334239.0,0.0,87.50681058585255
20160614,86.72,87.46,86.2,87.19,337965.0,0.0,87.08167100210264
20160615,87.49,87.95,87.49,87.59,178467.0,0.0,87.28527083837719
20160616,87.41,88.0,86.89,87.97,225179.0,0.0,87.66395977602531
20160617,87.8,88.33,87.01,87.96,517045.0,0.0,88.01651324033747
20160620,88.41,89.48,88.39,88.98,434100.0,0.0,87.98710607024292
20160621,89.17,90.55,89.15,89.63,722934.0,0.0,89.00104030242026
20160622,89.55,90.53,89.41,89.43,303657.0,0.0,89.60200190085503
20160623,90.11,92.45,90.0,92.41,496049.0,0.0,89.38332338182413
20160624,88.53,89.78,85.05,87.59,335879.0,0.0,92.3639935935458
20160627,86.58,86.58,84.695,85.09,473675.0,0.0,87.48298580890261
20160628,85.64,86.76,85.32,86.59,189688.0,0.0,85.22641065173241
20160629,87.34,88.44,87.2536,88.12,293119.0,0.0,86.81391381288034
20160630,88.56,90.76,88.42,90.75,570924.0,0.0,88.23162532174231
20160701,90.91,91.77,90.43,90.68,247054.0,0.0,90.75452127009605
20160705,90.03,90.64,88.9,89.08,196194.0,0.0,90.55908156086014
20160706,88.4,89.45,88.3,89.26,250217.0,0.0,88.99936470562712
20160707,89.44,89.87,88.9823,89.68,244587.0,0.0,89.27879091358385
20160708,90.43,91.58,90.06,91.42,192873.0,0.0,89.68885852608128
20160711,91.98,91.98,90.95,91.27,244915.0,0.0,91.39846223617852
20160712,91.93,92.23,91.39,91.85,262188.0,0.0,91.17079376785394
20160713,91.92,92.1,90.84,90.91,340813.0,0.0,91.77730649838502
20160714,91.42,91.97,91.04,91.08,270103.0,0.0,90.83367125363189
20160715,91.2,91.935,90.63,91.14,181653.0,0.0,91.06889520497776
20160718,91.35,91.77,90.86,91.04,325142.0,0.0,91.12764304056935
20160719,90.68,91.36,90.05,90.5,241049.0,0.0,91.03344588554927
20160720,90.57,90.93,90.01,90.46,615926.0,0.0,90.50972492881883
20160721,90.44,90.7,89.24,89.39,540551.0,0.0,90.50139882375419
20160722,89.7,90.14,89.16,90.0,357170.0,0.0,89.44038594613723
20160725,90.17,90.17,89.24,89.99,442915.0,0.0,90.09630780712281
20160726,89.83,90.42,89.4,90.34,415927.0,0.0,90.0451295242623
20160727,90.52,90.52,89.26,89.72,386795.0,0.0,90.38904547180847
20160728,89.96,90.4,89.39,90.07,218250.0,0.0,89.75418632096167
20160729,90.25,90.85,88.99,89.36,505881.0,0.0,90.1320215161778
20160801,89.67,90.39,89.28,90.38,731272.0,0.0,89.40585508153791
20160802,90.47,90.47,88.64,89.3,363088.0,0.0,90.4498995555399
20160803,89.4,90.66,89.1,90.34,626309.0,0.0,89.32355944015801
20160804,94.0,94.42,92.4378,92.8,970113.0,0.0,90.40776716648253
20160805,93.41,94.88,90.015,94.84,414679.0,0.0,92.78964192285255
20160808,94.97,95.15,94.41,94.81,311846.0,0.0,94.70229898756153
20160809,94.69,95.19,94.19,95.14,296659.0,0.0,94.59825408820697
20160810,94.94,95.95,93.75,95.93,302641.0,0.0,94.9704521996982
20160811,96.0,96.805,96.0,96.71,343584.0,0.0,95.77448293544177
20160812,96.41,96.76,96.25,96.69,346431.0,0.0,96.54355523772509
20160815,96.69,98.03,96.39,97.47,347843.0,0.0,96.51908182930556
20160816,97.37,97.44,96.67,96.72,292253.0,0.0,97.33174187335413
20160817,96.95,97.55,96.182,97.49,384279.0,0.0,96.5759759395945
20160818,97.53,97.88,97.26,97.43,239545.0,0.0,97.40989979517788
20160819,97.22,97.82,97.04,97.69,324662.0,0.0,97.33228007839807
20160822,97.22,97.9,97.22,97.55,259815.0,0.0,97.6169137159454
20160823,97.76,98.54,97.325,98.29,225092.0,0.0,97.48358803891641
20160824,98.39,98.39,97.865,98.13,135526.0,0.0,98.24449501976419
20160825,97.71,98.97,97.71,98.39,246038.0,0.0,98.06318833629267
20160826,98.28,98.99,97.75,98.5,175798.0,0.0,98.34751421449235
20160829,98.51,98.97,98.26,98.5,240992.0,0.0,98.45789222447112
20160830,95.88,97.98,94.37,95.35,1654298.0,0.0,98.46615959571825
20160831,95.51,96.0,94.93,95.09,642158.0,0.0,95.34586658256454
20160901,95.04,95.94,94.26,94.58,883236.0,0.0,95.24682889743461
20160902,95.17,95.7,94.87,95.66,547894.0,0.0,94.73055996203954
20160906,95.71,95.71,94.99,95.3,331951.0,0.0,95.81148736774058
20160907,95.04,95.8,94.93,95.21,258320.0,0.0,95.3818811288163
20160908,95.15,95.15,94.4502,94.62,186772.0,0.0,95.3022749809964
20160909,93.86,94.0789,92.58,92.61,245908.0,0.0,94.71115437280761
20160912,90.47,93.78,90.47,93.53,367849.0,0.0,92.73221683387382
20160913,93.01,93.12,91.82,92.34,377468.0,0.0,93.72931302912787
20160914,92.33,92.93,92.0501,92.4,246049.0,0.0,92.47594018235716
20160915,92.01,93.62,91.25,93.58,324586.0,0.0,92.57459447588889
20160916,93.13,93.46,91.8,91.92,504023.0,0.0,93.72162247830494
20160919,92.49,92.9,91.76,92.12,274971.0,0.0,92.00070637546439
20160920,92.7,92.845,92.06,92.06,106120.0,0.0,92.26813697200433
20160921,92.07,93.385,92.07,93.22,283508.0,0.0,92.18060354488044
20160922,93.97,93.98,92.5,93.21,327242.0,0.0,93.32098115942186
20160923,93.0,93.23,92.3,92.3,218793.0,0.0,93.24684430073121
20160926,92.02,92.415,91.35,91.42,281669.0,0.0,92.34307410586342
20160927,91.29,91.85,90.88,91.84,364285.0,0.0,91.50985147525839
20160928,91.97,92.09,91.38,91.93,522073.0,0.0,91.95857290736211
