Date,Open,High,Low,Close,Volume,OpenInt,Predictions
20120817,135.72,135.72,133.21,133.64,979180.0,0.0,135.2183536407756
20120820,133.74,133.74,132.46,133.28,753749.0,0.0,133.65602669825012
20120821,132.89,133.4,131.98,132.61,999303.0,0.0,133.36169966920897
20120822,132.48,134.3,132.19,133.49,867542.0,0.0,132.68753432794307
20120823,133.26,134.18,132.76,133.7,564016.0,0.0,133.555067658396
20120824,133.49,136.13,133.44,135.43,658851.0,0.0,133.7144569025044
20120827,135.2,136.04,134.72,135.76,738757.0,0.0,135.41853047954004
20120828,135.35,135.74,134.48,134.88,667344.0,0.0,135.70177155690098
20120829,135.55,135.6,134.11,134.38,748447.0,0.0,134.86376977897675
20120830,133.89,134.78,133.56,134.44,638897.0,0.0,134.42049538006899
20120831,135.43,135.66,134.05,135.03,687817.0,0.0,134.48943025744026
20120904,134.39,136.04,133.47,135.47,850147.0,0.0,135.05831911124972
20120905,135.66,136.08,134.15,135.1,679930.0,0.0,135.47138847443347
20120906,136.11,140.7,136.11,140.18,1289154.0,0.0,135.1043686226447
20120907,140.99,141.11,138.74,140.47,723172.0,0.0,140.1294650612407
20120910,138.5,140.08,138.17,139.64,644316.0,0.0,140.27569240564304
20120911,139.28,140.12,138.17,139.96,625930.0,0.0,139.5530870891384
20120912,140.64,141.32,139.87,140.25,653775.0,0.0,139.94643853333508
20120913,139.87,141.28,139.35,140.47,1006352.0,0.0,140.23767194752784
20120914,140.41,142.07,138.77,142.07,1378098.0,0.0,140.4629124898765
20120917,141.88,143.09,141.34,142.23,1734753.0,0.0,142.04752849595823
20120918,142.55,144.17,142.27,143.51,1167812.0,0.0,142.1726573521753
20120919,143.66,144.13,142.39,142.81,1160090.0,0.0,143.46919996793363
20120920,143.71,144.22,141.73,143.75,1275051.0,0.0,142.76629592921074
20120921,143.98,144.12,141.87,142.39,1835614.0,0.0,143.75068804723526
20120924,142.85,142.9,140.93,142.22,903819.0,0.0,142.3901313644759
20120925,142.77,143.23,140.6,140.77,1038174.0,0.0,142.28347978594996
20120926,143.5,144.78,139.57,139.66,1938417.0,0.0,140.84366329772965
20120927,140.13,141.01,138.41,138.82,1893047.0,0.0,139.7799025642592
20120928,138.17,138.48,136.23,137.44,1435619.0,0.0,138.94794539482027
20121001,137.39,140.52,137.37,138.11,1182453.0,0.0,137.5718558382179
20121002,138.11,138.73,137.39,138.1,840047.0,0.0,138.23262547739037
20121003,138.17,140.87,137.38,140.87,1147272.0,0.0,138.1577888032084
20121004,140.94,142.37,140.1,140.53,1081005.0,0.0,140.87738167066772
20121005,140.01,141.89,139.89,140.5,1048313.0,0.0,140.46011039506635
20121008,140.75,141.57,139.18,139.29,614739.0,0.0,140.4876043652963
20121009,139.12,140.57,137.25,137.6,931553.0,0.0,139.3129339749916
20121010,137.84,139.12,135.41,135.67,945283.0,0.0,137.69009229087695
20121011,136.89,137.68,135.39,135.5,1110721.0,0.0,135.8155484180669
20121012,135.87,137.96,135.38,135.59,1177180.0,0.0,135.6605170684191
20121015,135.86,137.74,135.29,137.62,1077882.0,0.0,135.6976983473355
20121016,137.63,141.23,137.24,141.16,1056325.0,0.0,137.66444225097595
20121017,140.99,142.69,140.39,141.65,883041.0,0.0,141.08595111020458
20121018,140.01,140.46,136.65,137.76,2191243.0,0.0,141.49594116262756
