Date,Open,High,Low,Close,Volume,OpenInt,Predictions
20150430,18.84,19.0,18.59,18.65,5531300.0,0.0,18.93
20150501,18.73,19.09,18.7,18.96,5079600.0,0.0,18.65
20150504,18.97,19.19,18.81,18.87,4883100.0,0.0,18.96
20150505,18.77,18.84,18.55,18.58,4733600.0,0.0,18.87
20150506,18.68,18.71,18.47,18.64,3899614.0,0.0,18.58
20150507,18.65,19.02,18.423,18.98,4431747.0,0.0,18.64
20150508,19.16,19.33,19.1,19.18,4974000.0,0.0,18.98
20150511,19.19,19.24,19.07,19.14,3430400.0,0.0,19.18
20150512,19.1,19.13,18.85,19.0,3458589.0,0.0,19.14
20150513,19.08,19.22,18.95,18.99,3737842.0,0.0,19.0
20150514,19.11,19.32,19.05,19.26,3614900.0,0.0,18.99
20150515,19.24,19.31,19.14,19.2,3508652.0,0.0,19.26
20150518,19.2,19.49,19.1,19.48,4116163.0,0.0,19.2
20150519,19.46,19.6,19.33,19.4,3157600.0,0.0,19.48
20150520,19.46,19.74,19.39,19.56,4943246.0,0.0,19.4
20150521,19.53,19.85,19.45,19.82,5569800.0,0.0,19.56
20150522,19.79,19.98,19.73,19.9,8147600.0,0.0,19.82
20150526,19.83,19.94,19.75,19.885,6696672.0,0.0,19.9
20150527,19.97,20.16,19.89,20.11,6930200.0,0.0,19.885
20150528,20.05,20.18,19.87,19.92,4252782.0,0.0,20.11
20150529,19.94,19.94,19.69,19.79,2341100.0,0.0,19.92
20150601,20.0,20.02,19.62,19.81,2699483.0,0.0,19.79
20150602,19.72,20.03,19.67,19.95,3208374.0,0.0,19.81
20150603,20.04,20.28,19.94,20.23,4270200.0,0.0,19.95
20150604,20.14,20.24,19.92,20.13,4287100.0,0.0,20.23
20150605,20.06,20.51,19.94,20.39,5449500.0,0.0,20.13
20150608,20.34,20.35,19.77,20.0,4792700.0,0.0,20.39
20150609,20.0,20.0,19.64,19.71,4012228.0,0.0,20.0
20150610,19.8,20.02,19.76,19.84,4367336.0,0.0,19.71
20150611,19.9,19.96,19.63,19.75,5136383.0,0.0,19.84
20150612,19.69,19.88,19.65,19.85,1920600.0,0.0,19.75
20150615,19.65,19.85,19.45,19.82,2639000.0,0.0,19.85
20150616,19.75,19.92,19.69,19.86,2751400.0,0.0,19.82
20150617,19.94,20.13,19.87,20.02,3189000.0,0.0,19.86
20150618,20.0,20.25,19.89,20.16,2504200.0,0.0,20.02
20150619,19.83,20.19,19.75,20.07,1480500.0,0.0,20.16
20150622,20.19,20.25,20.09,20.15,1626700.0,0.0,20.07
20150623,20.14,20.18,20.0,20.05,3140729.0,0.0,20.15
20150624,20.03,20.07,19.82,20.03,3023600.0,0.0,20.05
20150625,20.05,20.16,20.02,20.14,1968800.0,0.0,20.03
20150626,20.11,20.18,19.93,20.04,1940300.0,0.0,20.14
20150629,19.88,19.92,19.47,19.49,2021900.0,0.0,20.04
20150630,19.63,19.74,19.43,19.66,2672759.0,0.0,19.49
20150701,19.81,19.96,19.38,19.49,2184300.0,0.0,19.66
20150702,19.5,19.53,19.27,19.36,1114700.0,0.0,19.49
20150706,19.19,19.42,19.1,19.38,2279900.0,0.0,19.36
20150707,19.4,19.43,18.97,19.27,1690000.0,0.0,19.38
20150708,19.1,19.26,19.08,19.22,2673400.0,0.0,19.27
20150709,19.43,19.61,19.12,19.45,3073700.0,0.0,19.22
20150710,19.59,19.72,19.45,19.58,2085200.0,0.0,19.45
20150713,19.7,19.82,19.6,19.79,2068700.0,0.0,19.58
20150714,19.78,19.83,19.68,19.69,2666935.0,0.0,19.79
20150715,19.7,19.79,19.52,19.69,2347914.0,0.0,19.69
20150716,19.73,19.87,19.53,19.56,3123600.0,0.0,19.69
20150717,19.47,19.58,19.34,19.54,3923900.0,0.0,19.56
20150720,19.59,20.04,19.53,19.94,3152500.0,0.0,19.54
20150721,19.91,19.96,19.74,19.8,2179900.0,0.0,19.94
20150722,19.63,19.76,19.43,19.49,4814200.0,0.0,19.8
20150723,19.56,19.67,19.26,19.3,2977100.0,0.0,19.49
20150724,19.28,19.41,19.06,19.16,1565800.0,0.0,19.3
20150727,19.0,19.17,18.88,18.97,2680700.0,0.0,19.16
20150728,19.66,21.14,19.51,20.79,11387500.0,0.0,18.97
20150729,20.8,21.0,20.66,20.97,3201617.0,0.0,20.79
20150730,20.89,21.02,20.82,20.93,2784500.0,0.0,20.97
20150731,20.95,21.12,20.84,20.97,1618400.0,0.0,20.93
20150803,20.92,20.99,20.8,20.98,1914688.0,0.0,20.97
20150804,20.98,21.06,20.89,20.94,1707600.0,0.0,20.98
20150805,21.05,21.28,21.05,21.1,1981500.0,0.0,20.94
20150806,21.1,21.26,20.67,20.8,1406610.0,0.0,21.1
20150807,20.81,20.93,20.75,20.9,1253800.0,0.0,20.8
20150810,20.91,21.44,20.87,21.38,2106100.0,0.0,20.9
20150811,21.25,21.55,21.17,21.35,3716689.0,0.0,21.38
20150812,21.11,21.26,20.82,21.25,1878400.0,0.0,21.35
20150813,21.18,21.54,21.18,21.35,1503700.0,0.0,21.25
20150814,21.3,21.59,21.27,21.56,1684400.0,0.0,21.35
20150817,21.54,21.85,21.39,21.8,1587900.0,0.0,21.56
20150818,21.57,21.75,21.45,21.62,1846900.0,0.0,21.8
20150819,21.43,21.86,21.38,21.63,2236800.0,0.0,21.62
20150820,21.48,21.48,20.46,20.47,2261900.0,0.0,21.63
20150821,20.32,20.41,19.8,19.8,2478200.0,0.0,20.47
20150824,18.54,19.745,18.133,19.0,3238208.0,0.0,19.800000000000004
20150825,19.6,19.6,18.73,18.75,2461000.0,0.0,19.0
20150826,19.17,19.59,18.7,19.51,2509700.0,0.0,18.75
20150827,19.74,19.96,19.55,19.94,2740000.0,0.0,19.51
20150828,19.87,20.44,19.87,20.14,1985100.0,0.0,19.94
20150831,20.0,20.27,19.96,20.02,1362300.0,0.0,20.14
20150901,19.7,19.97,19.27,19.72,2404300.0,0.0,20.02
20150902,19.96,20.0,19.56,19.93,2407700.0,0.0,19.72
20150903,20.03,20.71,19.96,20.52,3632500.0,0.0,19.93
20150904,20.24,20.51,20.13,20.29,1866600.0,0.0,20.52
20150908,20.66,20.92,20.54,20.85,2375600.0,0.0,20.29
20150909,21.0,21.08,20.59,20.61,2010400.0,0.0,20.85
20150910,20.6,21.0,20.55,20.77,2603015.0,0.0,20.61
20150911,20.73,20.81,20.52,20.65,2510500.0,0.0,20.77
20150914,20.5,20.83,20.5,20.67,2207900.0,0.0,20.65
20150915,20.73,21.19,20.68,21.14,1523700.0,0.0,20.67
20150916,21.19,21.33,21.0,21.2,1612900.0,0.0,21.14
20150917,21.09,21.37,21.01,21.13,1742350.0,0.0,21.2
20150918,20.85,21.1,20.76,20.81,2787100.0,0.0,21.13
20150921,21.0,21.22,20.8,21.08,2395200.0,0.0,20.81
20150922,20.88,21.25,20.73,21.21,3041000.0,0.0,21.08
20150923,21.26,21.29,20.96,21.18,1778344.0,0.0,21.21
20150924,21.06,21.13,20.77,21.05,1785199.0,0.0,21.18
20150925,21.25,21.34,20.84,20.95,1702000.0,0.0,21.05
20150928,20.89,21.11,20.48,20.48,1981456.0,0.0,20.95
