Date,Open,High,Low,Close,Volume,OpenInt,Predictions
20150430,73.01,73.46,71.54,71.81,1702500.0,0.0,73.05599348977461
20150501,72.32,72.87,71.57,72.11,1274000.0,0.0,71.83550683328541
20150504,72.28,73.18,72.28,73.06,1442400.0,0.0,72.1356139555551
20150505,72.52,72.95,71.86,72.08,1352900.0,0.0,73.08597481132297
20150506,71.68,72.455,70.57,70.85,2231137.0,0.0,72.10558226341594
20150507,71.07,71.66,70.66,71.25,1941366.0,0.0,70.87509262819405
20150508,70.89,70.94,67.57,68.02,8342600.0,0.0,71.2752387909341
20150511,67.67,68.61,66.92,68.1,3503700.0,0.0,68.04397018464918
20150512,67.81,67.99,66.95,67.24,2075033.0,0.0,68.12399201402414
20150513,67.46,67.93,67.14,67.27,1837296.0,0.0,67.26364778037383
20150514,67.86,68.21,67.39,68.14,4797300.0,0.0,67.29365023672739
20150515,68.2,68.34,67.25,67.34,1922365.0,0.0,68.1639795597411
20150518,67.3,68.36,67.06,68.26,1305523.0,0.0,67.36365908206923
20150519,68.19,68.86,68.12,68.5,2107610.0,0.0,68.28400758116719
20150520,68.75,68.81,68.13,68.19,1232738.0,0.0,68.52409152711346
20150521,68.05,68.25,67.52,67.83,1935300.0,0.0,68.21396172055556
20150522,67.66,68.75,67.37,68.33,2063900.0,0.0,67.85381260329032
20150526,67.9,68.1,67.33,67.78,1598496.0,0.0,68.35399746489414
20150527,67.88,68.74,67.62,68.47,1987200.0,0.0,67.803774725838
20150528,68.47,68.72,68.29,68.33,1709805.0,0.0,68.49403316311225
20150529,67.92,68.42,67.25,67.29,2093000.0,0.0,68.35396956184567
20150601,67.67,67.98,67.16,67.81,1880495.0,0.0,67.31355711327976
20150602,67.27,67.7,67.09,67.14,1741064.0,0.0,67.83374950355346
20150603,67.34,67.83,67.07,67.75,1683200.0,0.0,67.16348078657026
20150604,67.37,67.72,66.65,67.06,1951200.0,0.0,67.77370788703399
20150605,67.01,67.18,65.98,66.24,2847900.0,0.0,67.08343163804706
20150608,66.01,66.5,65.99,66.09,2211800.0,0.0,66.26310541233498
20150609,66.24,66.39,65.67,65.77,1422028.0,0.0,66.1130384193447
20150610,66.0,67.33,65.79,67.17,1810704.0,0.0,65.79290581236403
20150611,67.45,68.09,67.26,67.87,1775867.0,0.0,67.19343798252577
20150612,67.39,68.03,67.31,67.85,2139900.0,0.0,67.89369930475087
20150615,67.32,67.44,66.62,67.17,2969900.0,0.0,67.87368237599128
20150616,67.0,67.75,66.55,67.51,1035200.0,0.0,67.19341082728172
20150617,67.79,68.07,67.39,67.81,1123600.0,0.0,67.533532974603
20150618,68.28,69.83,68.0,69.39,1693400.0,0.0,67.83363959368893
20150619,69.29,69.6,68.87,69.43,2882800.0,0.0,69.41423953540162
20150622,69.81,70.66,69.8,70.27,1576500.0,0.0,69.45424566473989
20150623,70.28,70.61,69.74,69.92,1327048.0,0.0,70.29455988816814
20150624,69.76,69.95,68.44,69.12,1311300.0,0.0,69.94441561564227
20150625,69.25,69.45,68.9,69.19,1188600.0,0.0,69.1440983424553
20150626,69.37,69.9,68.85,69.11,1295800.0,0.0,69.21411599465226
20150629,68.86,69.06,68.18,68.23,2058100.0,0.0,69.13407592062939
20150630,68.97,69.39,68.34,69.06,3168798.0,0.0,68.25372836204252
20150701,69.39,69.47,68.56,69.4,2174600.0,0.0,69.08403823981546
20150702,69.49,70.15,68.12,68.48,1696200.0,0.0,69.42415958276722
20150706,68.05,68.62,67.68,68.23,2039200.0,0.0,68.50379704301064
20150707,68.41,68.65,67.37,68.59,1277800.0,0.0,68.2536919298716
20150708,68.57,68.67,67.72,67.81,1484000.0,0.0,68.61382094942924
20150709,68.8,69.0,68.24,68.47,1378800.0,0.0,67.83351265822785
20150710,68.93,70.15,68.71,69.92,1064400.0,0.0,68.49375664893837
20150713,70.12,70.76,70.0,70.63,2503700.0,0.0,69.94430330902011
20150714,70.54,71.65,70.28,71.3,1587792.0,0.0,70.654566036933
20150715,71.32,72.01,71.1,71.6,1503258.0,0.0,71.3248132498729
20150716,71.76,71.98,71.25,71.3,1751800.0,0.0,71.62491863642497
20150717,71.15,71.41,70.84,71.33,1241100.0,0.0,71.32479428553854
20150720,71.42,72.63,71.13,71.95,1664600.0,0.0,71.35479628921186
20150721,73.21,73.52,71.21,71.54,1047100.0,0.0,71.97502384552195
20150722,71.61,72.25,71.55,72.05,992600.0,0.0,71.56485759419367
20150723,72.03,72.13,69.8,70.0,2303800.0,0.0,72.07504298815428
20150724,70.42,70.42,67.95,68.12,2338600.0,0.0,70.02425032284846
20150727,68.12,68.12,67.26,67.66,1932100.0,0.0,68.14352329133257
20150728,68.0,68.61,67.7,68.49,1371500.0,0.0,67.68333874045801
20150729,68.28,75.0,68.0,73.4,5535800.0,0.0,68.51364650896603
20150730,72.69,72.7,71.5,71.96,3574400.0,0.0,73.42551010678862
20150731,72.39,72.73,71.42,71.72,2021300.0,0.0,71.98495138101629
20150803,71.91,72.06,69.95,70.9,2290125.0,0.0,71.74485041707023
20150804,70.65,71.28,70.02,70.32,1943600.0,0.0,70.9245285257358
20150805,66.0,67.59,63.25,67.3,11450800.0,0.0,70.34429835286569
20150806,67.42,67.55,65.23,65.3,4588275.0,0.0,67.32313951275218
20150807,65.26,65.33,63.34,63.59,3763700.0,0.0,65.3223696257367
20150810,63.78,64.14,62.61,63.21,2971000.0,0.0,63.61171072651199
20150811,62.28,62.96,62.12,62.81,3337569.0,0.0,63.23155798311619
20150812,62.03,63.61,62.0,63.12,2919700.0,0.0,62.83139771575887
20150813,63.01,63.52,62.48,62.89,2569800.0,0.0,63.141507344504454
20150814,62.76,64.29,62.53,64.25,3598600.0,0.0,62.91141184535967
20150817,64.27,64.77,64.0,64.54,2361000.0,0.0,64.27192008332536
20150818,64.5,65.65,64.32,65.6,2497000.0,0.0,64.56202179088255
20150819,65.6,65.87,64.74,65.0,2769500.0,0.0,65.62241559180576
20150820,64.55,65.04,63.11,63.27,1794400.0,0.0,65.02217951829937
20150821,62.77,63.31,61.7,61.72,2946200.0,0.0,63.291515350857644
20150824,58.97,62.15,57.42,60.63,5898074.0,0.0,61.74091985600602
20150825,61.28,62.37,60.19,60.24,3597200.0,0.0,60.65049905133654
20150826,61.61,61.86,59.76,61.63,3307300.0,0.0,60.26034357929388
20150827,62.3,62.55,60.73,61.44,3010500.0,0.0,61.650862036336115
20150828,61.22,63.2,61.12,63.13,2615800.0,0.0,61.46078225501324
20150831,62.86,63.27,61.67,61.76,2180500.0,0.0,63.15141356986731
20150901,60.79,61.21,59.39,59.87,2649700.0,0.0,61.78088751543091
20150902,60.82,61.6,60.08,60.96,1797300.0,0.0,59.89016533298724
20150903,61.22,61.61,60.65,60.81,1478600.0,0.0,60.98056951265584
20150904,60.02,60.51,59.54,59.83,1500300.0,0.0,60.83050505992756
