Date,Open,High,Low,Close,Volume,OpenInt,Predictions
20110803,61.797,62.97,61.185,62.79,4676277.0,0.0,61.67792419605641
20110804,61.976000000000006,63.769,61.748999999999995,62.326,7070854.0,0.0,62.923445928241975
20110805,62.823,63.157,60.916000000000004,62.513999999999996,4402309.0,0.0,62.41387705827603
20110808,61.406000000000006,62.293,57.398,57.528999999999996,10324522.0,0.0,62.53804052125857
20110809,58.441,60.82,57.601000000000006,60.82,7014674.0,0.0,57.66032420738864
20110810,59.507,59.581,57.201,57.34,6037596.0,0.0,60.97815806357824
20110811,57.633,59.784,57.276,59.148999999999994,5308089.0,0.0,57.65317855558354
20110812,59.483000000000004,59.8,58.407,59.295,3698192.0,0.0,59.08052393207325
20110815,59.525,60.346000000000004,59.207,60.346000000000004,3206566.0,0.0,59.64770160587229
20110816,60.159,61.592,59.768,61.208999999999996,3495515.0,0.0,60.114430927626934
20110817,61.544,63.051,61.364,62.008,4400137.0,0.0,61.4241411999235
20110818,60.711000000000006,61.406000000000006,59.027,60.575,6106197.0,0.0,61.72624389814718
20110819,59.931000000000004,61.496,59.793,60.575,4584185.0,0.0,60.73973623115698
20110822,61.885,61.901,60.063,60.623999999999995,3014524.0,0.0,60.37532241983971
20110823,60.763000000000005,62.586000000000006,60.412,62.09,4172787.0,0.0,60.841227516090434
20110824,62.09,63.157,61.707,63.123999999999995,3053780.0,0.0,61.87968428752376
20110825,63.441,63.963,61.723,61.797,2550291.0,0.0,63.22242000336195
20110826,61.766000000000005,63.271,61.138000000000005,62.896,2673224.0,0.0,61.57076122952798
20110829,63.628,63.628,63.034,63.37,3208230.0,0.0,62.96561139422048
20110830,63.215,63.979,62.903999999999996,63.596000000000004,2751087.0,0.0,63.22890526043845
20110831,63.771,64.385,63.559,63.982,3306257.0,0.0,63.58323737161101
20110901,64.337,65.91199999999999,64.176,64.745,4907621.0,0.0,63.85481042507264
20110902,63.73,64.906,63.608000000000004,63.998999999999995,3018914.0,0.0,64.71328484311151
20110906,62.806000000000004,63.97,62.391000000000005,63.86600000000001,2752917.0,0.0,63.89534933031242
