Date,Open,High,Low,Close,Volume,OpenInt,Predictions
20150508,68.23,68.98,67.16,67.9,617000.0,0.0,67.50114885877142
20150511,67.76,68.72,67.4,67.6,458800.0,0.0,67.99488858962138
20150512,67.01,68.58,66.15,68.08,570472.0,0.0,67.8038730790018
20150513,68.21,68.26,66.5,67.77,367000.0,0.0,67.96561565193674
20150514,68.03,69.8,66.55,68.93,569600.0,0.0,67.91871439680682
20150515,69.01,69.22,67.72,68.39,290148.0,0.0,69.50717432513147
20150518,68.3,70.37,67.93,70.1,480080.0,0.0,68.46076921209676
20150519,70.0,70.38,69.27,69.79,439684.0,0.0,70.60311251082652
20150520,70.21,70.34,68.74,69.17,346800.0,0.0,70.03513375655157
20150521,68.97,69.21,67.78,68.25,457700.0,0.0,69.35679725870274
20150522,68.13,68.88,67.88,68.68,474700.0,0.0,68.26953822710371
20150526,68.0,69.16,67.68,68.65,574504.0,0.0,68.59436355243717
20150527,68.63,71.73,68.22,71.64,847200.0,0.0,68.76586720264712
20150528,71.44,71.8,70.36,71.27,680101.0,0.0,72.13500418454329
20150529,71.0,72.72,70.75,71.72,704900.0,0.0,71.38900139107407
20150601,71.61,73.0,71.19,72.35,566264.0,0.0,72.20029408749275
20150602,72.03,73.39,71.5,72.59,481133.0,0.0,72.90442170096449
20150603,72.93,72.99,71.84,72.48,453500.0,0.0,73.13679044623157
20150604,72.11,72.39,70.59,71.86,652300.0,0.0,73.26145036061563
20150605,71.96,72.87,71.43,72.61,619700.0,0.0,71.8046298475545
20150608,72.47,72.83,71.56,71.74,491900.0,0.0,72.86844602016484
20150609,71.89,71.89,70.02,70.9,611071.0,0.0,71.68169739682261
20150610,71.42,72.5,70.59,72.17,544119.0,0.0,70.71058412226068
20150611,72.27,73.5,71.95,73.39,409406.0,0.0,72.1458314885763
20150612,73.05,73.35,72.1,72.44,662600.0,0.0,73.52511910849952
20150615,71.39,72.47,70.02,72.37,701900.0,0.0,72.6023425770104
20150616,72.02,73.34,71.8,72.79,488200.0,0.0,72.33091778937121
20150617,73.06,75.49,73.02,74.97,827800.0,0.0,72.80359092577679
20150618,75.02,77.67,75.02,77.4,938100.0,0.0,75.7934007861738
20150619,77.63,77.98,76.87,77.62,889800.0,0.0,78.43661345063653
20150622,78.38,78.38,77.04,77.81,647100.0,0.0,78.25175507049144
20150623,77.8,78.0,77.25,77.93,708562.0,0.0,78.64778914409999
20150624,77.97,78.1,76.76,77.1,805300.0,0.0,78.67382099571242
20150625,77.74,78.17,77.02,77.76,825100.0,0.0,77.76002963692326
20150626,78.17,79.99,77.55,79.6,10387100.0,0.0,78.38623060282646
20150629,78.49,80.57,77.93,79.1,1442800.0,0.0,80.02036816859294
20150630,79.9,80.23,79.36,79.98,1282746.0,0.0,79.31671638546096
20150701,80.57,81.4,79.31,79.77,1116200.0,0.0,80.4657859230377
20150702,79.88,80.1,78.93,79.36,916300.0,0.0,79.85348180791178
20150706,78.78,80.39,78.0,79.71,2299500.0,0.0,79.73182318449886
20150707,79.95,81.17,78.0,81.07,1173500.0,0.0,80.12452147205882
20150708,81.62,81.62,79.05,79.51,817300.0,0.0,81.31519638565939
20150709,80.16,80.78,79.96,80.16,892500.0,0.0,79.53274655972096
20150710,81.03,81.54,80.56,81.45,900800.0,0.0,80.30645307483208
20150713,82.26,83.11,81.64,82.01,784800.0,0.0,81.61588729018932
20150714,82.07,82.98,81.82,82.26,541076.0,0.0,82.49290759192891
20150715,82.34,82.605,80.59,80.91,651420.0,0.0,82.82032772985416
20150716,81.29,83.83,81.28,83.67,969800.0,0.0,80.64608769801177
20150717,83.73,84.08,82.94,83.79,370900.0,0.0,84.50929206918147
20150720,84.21,84.32,83.12,83.48,408100.0,0.0,84.28519025571467
20150721,83.48,84.61,82.55,84.53,667400.0,0.0,83.96824149814974
20150722,84.05,85.78,84.05,85.41,477400.0,0.0,84.941164524844
20150723,85.37,86.2,84.58,85.13,414600.0,0.0,85.75480579680676
20150724,84.82,85.45,82.81,83.09,506300.0,0.0,85.95651542525037
20150727,82.46,82.5,80.8,81.7,963200.0,0.0,82.90126882888902
20150728,82.38,83.5,80.88,83.41,581600.0,0.0,81.25765178199869
20150729,83.6,83.92,81.77,83.56,515100.0,0.0,83.50059346707569
20150730,83.39,84.28,82.0,83.92,437300.0,0.0,83.41883083025095
20150731,84.5,86.08,83.46,84.65,497800.0,0.0,83.85852881979139
20150803,85.0,85.77,83.335,84.53,442587.0,0.0,84.48959345659209
20150804,84.68,85.57,84.1,84.93,622200.0,0.0,84.62309915480012
20150805,85.13,87.0,84.7,85.95,1593400.0,0.0,85.561958149433
