Date,Open,High,Low,Close,Volume,OpenInt,Predictions
20150529,106.93,107.34,104.92,105.2,2868557.0,0.0,107.67824835669143
20150601,105.36,105.95,104.17,105.39,1376041.0,0.0,105.75810967591278
20150602,105.03,106.1,103.98,105.57,1502688.0,0.0,105.61760845804318
20150603,106.97,107.45,104.4,104.55,1719624.0,0.0,104.81885678825952
20150604,103.76,104.28,102.95,103.61,2191617.0,0.0,103.91952325758231
20150605,103.77,104.87,103.27,104.34,1694236.0,0.0,102.66743641427668
20150608,103.92,104.49,102.7,102.77,967640.0,0.0,103.89779418659356
20150609,102.89,103.31,101.48,102.99,1354502.0,0.0,102.36281455036949
20150610,103.96,106.28,103.55,106.09,1458005.0,0.0,102.63760323457969
20150611,106.16,107.14,105.51,105.8,921270.0,0.0,106.20493722994647
20150612,105.06,106.17,105.04,105.63,869143.0,0.0,106.07513335163549
20150615,105.9,105.9,104.61,105.16,1007508.0,0.0,105.93784495567452
20150616,105.16,106.33,104.98,105.88,998433.0,0.0,105.11787968068974
20150617,106.05,106.93,104.82,105.82,1744301.0,0.0,106.51262170694585
20150618,105.92,108.42,105.54,107.57,1191656.0,0.0,106.28463404515638
20150619,107.89,108.39,106.14,106.58,1453091.0,0.0,107.89774983860165
20150622,109.05,109.18,107.04,107.39,1340217.0,0.0,106.61565371683457
20150623,107.84,108.02,106.98,107.72,853519.0,0.0,107.74295627036825
20150624,107.51,108.38,106.83,106.87,1028411.0,0.0,108.0539909568938
20150625,107.56,107.72,106.5,107.16,877911.0,0.0,107.10234364185253
20150626,107.39,108.64,106.89,108.57,1327269.0,0.0,107.33904870054978
20150629,107.11,107.61,104.45,104.89,1232646.0,0.0,108.77051953180622
20150630,106.2,108.56,105.71,107.24,1470933.0,0.0,104.54740064909713
20150701,107.09,108.86,104.45,105.13,2103113.0,0.0,107.27818812278655
20150702,105.52,106.12,103.74,105.01,1199098.0,0.0,104.54245208522886
20150706,104.25,105.76,103.8,104.44,1377129.0,0.0,104.94644557001558
20150707,105.04,105.09,102.21,105.0,1417811.0,0.0,103.7672482452132
20150708,103.75,104.32,102.3,102.84,924508.0,0.0,104.54985220719249
20150709,104.47,104.99,102.48,102.53,1011382.0,0.0,102.43600101746824
20150710,104.02,106.08,103.7,105.9,1044418.0,0.0,101.75344712359276
20150713,106.86,109.05,106.7,108.98,1588805.0,0.0,106.05297359883481
20150714,108.21,108.21,104.97,105.2,2603491.0,0.0,109.81849652743205
20150715,105.02,105.96,104.19,105.39,1171338.0,0.0,105.21116304939196
