Date,Open,High,Low,Close,Volume,OpenInt,Predictions
20150430,166.3,166.37,163.83,165.33,973200.0,0.0,166.51
20150501,164.84,166.47,164.28,165.99,843300.0,0.0,165.33
20150504,166.67,167.19,164.33,166.12,813000.0,0.0,165.99
20150505,165.18,166.12,164.08,164.32,804300.0,0.0,166.12
20150506,164.78,165.58,160.96,162.9,1250766.0,0.0,164.32
20150507,163.04,165.12,161.84,163.04,890616.0,0.0,162.9
20150508,164.49,165.12,162.98,164.77,746700.0,0.0,163.04
20150511,164.61,166.1,163.01,165.46,878700.0,0.0,164.77
20150512,164.33,166.39,163.49,164.95,1015710.0,0.0,165.46
20150513,164.7,166.81,164.38,166.15,860658.0,0.0,164.95
20150514,166.91,168.65,165.27,167.45,906000.0,0.0,166.15
20150515,168.29,168.29,166.48,167.89,599259.0,0.0,167.45
20150518,167.43,168.13,166.7,167.55,694503.0,0.0,167.89
20150519,167.77,168.0,166.55,167.62,460008.0,0.0,167.55
20150520,168.0,168.02,163.72,164.12,1067868.0,0.0,167.62
20150521,163.66,165.8,163.58,164.98,612000.0,0.0,164.12
20150522,164.93,165.99,164.22,165.09,614100.0,0.0,164.98
20150526,164.67,164.74,162.15,162.39,681936.0,0.0,165.09
20150527,162.39,164.68,161.83,164.55,914100.0,0.0,162.39
20150528,163.84,164.33,161.47,161.93,873456.0,0.0,164.55
20150529,162.02,164.33,161.11,162.58,1305900.0,0.0,161.93
20150601,163.79,169.86,163.11,167.39,1705131.0,0.0,162.58
20150602,166.85,166.98,165.33,166.38,712383.0,0.0,167.39
20150603,166.31,167.46,165.29,167.05,420900.0,0.0,166.38
20150604,166.24,166.53,164.58,165.41,450000.0,0.0,167.05
20150605,165.78,166.11,163.7,165.03,352200.0,0.0,165.41
20150608,165.31,166.21,163.32,163.52,473400.0,0.0,165.03
20150609,163.15,166.24,162.48,165.74,836037.0,0.0,163.52
20150610,165.76,169.31,164.83,168.07,1112403.0,0.0,165.74
20150611,167.46,169.59,165.8,166.08,869511.0,0.0,168.07
20150612,165.15,165.96,163.81,165.22,812100.0,0.0,166.08
20150615,164.43,165.19,162.34,163.89,570000.0,0.0,165.22
20150616,164.16,165.23,163.42,163.61,478800.0,0.0,163.89
20150617,163.99,165.88,162.33,162.94,956700.0,0.0,163.61
20150618,163.77,165.79,163.22,165.33,692100.0,0.0,162.94
20150619,165.24,166.24,164.32,164.92,1168800.0,0.0,165.33
20150622,165.92,167.28,164.88,166.48,568500.0,0.0,164.92
20150623,166.19,167.78,165.33,165.54,529983.0,0.0,166.48
20150624,165.89,166.65,164.11,164.15,367500.0,0.0,165.54
20150625,164.38,168.33,164.38,164.95,775500.0,0.0,164.15
20150626,165.81,167.74,165.12,165.72,1116900.0,0.0,164.95
20150629,163.97,165.07,161.09,161.26,579900.0,0.0,165.72
20150630,162.81,162.81,160.03,161.5,964770.0,0.0,161.26
20150701,162.48,163.42,160.93,161.95,832500.0,0.0,161.5
20150702,162.62,162.75,160.7,162.1,652200.0,0.0,161.95
20150706,159.21,160.87,156.93,159.37,1408200.0,0.0,162.1
20150707,160.15,160.65,157.04,160.49,550200.0,0.0,159.37
20150708,160.12,161.41,158.24,159.55,613800.0,0.0,160.49
20150709,161.63,162.19,159.86,160.49,403500.0,0.0,159.55
20150710,162.17,163.06,161.33,162.62,381600.0,0.0,160.49
20150713,160.35,166.36,160.35,165.85,663300.0,0.0,162.62
20150714,166.33,166.47,162.88,163.98,974739.0,0.0,165.85
20150715,164.47,165.39,162.99,163.49,968544.0,0.0,163.98
20150716,164.27,164.79,162.92,163.34,659700.0,0.0,163.49
20150717,163.3,163.93,162.28,163.27,889200.0,0.0,163.34
20150720,163.14,166.33,162.48,165.87,658800.0,0.0,163.27
20150721,165.9,169.23,165.32,168.36,1462800.0,0.0,165.87
20150722,187.0,188.29,182.46,183.29,3911700.0,0.0,168.36
20150723,183.33,186.86,181.85,185.73,1483800.0,0.0,183.29
20150724,176.36,184.2,174.51,182.03,2040300.0,0.0,185.73
20150727,179.75,181.83,179.27,181.38,1405800.0,0.0,182.03
20150728,180.43,181.17,179.33,180.09,1071300.0,0.0,181.38
20150729,179.53,181.46,178.61,180.1,548826.0,0.0,180.09
20150730,180.04,180.57,178.72,179.87,542400.0,0.0,180.1
20150731,180.03,180.03,177.33,177.72,720900.0,0.0,179.87
20150803,177.22,177.83,173.72,175.5,980823.0,0.0,177.72
20150804,174.72,176.32,174.05,175.58,546600.0,0.0,175.5
20150805,176.45,178.15,176.45,177.02,556800.0,0.0,175.58
20150806,176.55,177.51,174.5,174.69,528381.0,0.0,177.02
20150807,174.71,178.0,173.71,177.66,723600.0,0.0,174.69
20150810,177.98,178.0,176.36,177.42,857100.0,0.0,177.66
20150811,177.33,178.0,175.31,176.61,560949.0,0.0,177.42
20150812,175.97,176.8,175.0,176.43,860700.0,0.0,176.61
20150813,176.27,177.2,175.27,175.96,522900.0,0.0,176.43
20150814,176.1,176.78,175.11,176.62,369300.0,0.0,175.96
20150817,175.97,177.9,174.34,177.68,463200.0,0.0,176.62
20150818,178.09,178.09,176.18,176.57,437400.0,0.0,177.68
20150819,176.9,176.9,174.28,175.54,818100.0,0.0,176.57
20150820,174.03,174.86,171.28,171.41,703800.0,0.0,175.54
20150821,169.88,171.35,167.61,168.95,1050300.0,0.0,171.41
20150824,160.54,166.7,158.34,163.6,1479255.0,0.0,168.95
20150825,167.01,169.97,164.33,164.82,1470000.0,0.0,163.6
