Sym,Name
spy.us.txt,SPDR S&P 500 ETF
sqqq.us.txt,ProShares UltraPro Short QQQ
xlf.us.txt,Financial Select Sector SPDR Fund
eem.us.txt,iShares MSCI Emerging Markets ETF
qqq.us.txt,Invesco QQQ
uvxy.us.txt,ProShares Ultra VIX Short-Term Futures
spxs.us.txt,Direxion Daily S&P 500 Bear 3X Shares
xle.us.txt,Energy Select Sector SPDR Fund
tqqq.us.txt,ProShares UltraPro QQQ
hyg.us.txt,iShares iBoxx $ High Yield Corporate Bond ETF
slv.us.txt,iShares Silver Trust
spxu.us.txt,ProShares UltraPro Short S&P 500
iwm.us.txt,iShares Russell 2000 ETF
ewz.us.txt,iShares MSCI Brazil ETF
gdx.us.txt,VanEck Vectors Gold Miners ETF
efa.us.txt,iShares MSCI EAFE ETF
iau.us.txt,iShares Gold Trust
tza.us.txt,Direxion Daily Small Cap Bear 3X Shares
fxi.us.txt,iShares China Large-Cap ETF
sds.us.txt,ProShares UltraShort S&P 500
iemg.us.txt,iShares Core MSCI Emerging Markets ETF
lqd.us.txt,iShares iBoxx $ Investment Grade Corporate Bond ETF
xlu.us.txt,Utilities Select Sector SPDR Fund
xli.us.txt,Industrial Select Sector SPDR Fund
qid.us.txt,ProShares UltraShort QQQ
sh.us.txt,ProShares Short S&P 500
vwo.us.txt,Vanguard FTSE Emerging Markets ETF
tna.us.txt,Direxion Daily Small Cap Bull 3X Shares
sdow.us.txt,ProShares UltraPro Short Dow30
tlt.us.txt,iShares 20+ Year Treasury Bond ETF
xlk.us.txt,Technology Select Sector SPDR Fund
gld.us.txt,SPDR Gold Trust
kre.us.txt,SPDR S&P Regional Banking ETF
xlp.us.txt,Consumer Staples Select Sector SPDR Fund
xlv.us.txt,Health Care Select Sector SPDR Fund
vea.us.txt,Vanguard FTSE Developed Markets ETF
xop.us.txt,SPDR S&P Oil & Gas Exploration & Production ETF
gdxj.us.txt,VanEck Vectors Junior Gold Miners ETF
iefa.us.txt,iShares Core MSCI EAFE ETF
spxl.us.txt,Direxion Daily S&P 500 Bull 3X Shares
jnk.us.txt,SPDR Barclays High Yield Bond ETF
ewj.us.txt,iShares MSCI Japan ETF
xlb.us.txt,Materials Select Sector SPDR ETF
jdst.us.txt,Direxion Daily Junior Gold Miners Index Bear 2X Shares
bkln.us.txt,Invesco Senior Loan ETF
