Sym,Name
amzn.us.txt,Amazon.com Inc
goog.us.txt,Alphabet Class C
googl.us.txt,Alphabet Class A
isrg.us.txt,Intuitive Surgical Inc
chtr.us.txt,Charter Communications Inc
algn.us.txt,Align Technology Inc
adbe.us.txt,Adobe Inc.
asml.us.txt,ASML Holding NV
avgo.us.txt,Broadcom Inc
cost.us.txt,Costco Wholesale Corp
intu.us.txt,Intuit Inc
ctas.us.txt,Cintas Corp
dxcm.us.txt,DexCom Inc
ilmn.us.txt,Illumina Inc
anss.us.txt,ANSYS Inc
adsk.us.txt,Autodesk Inc
fb.us.txt,Facebook
biib.us.txt,Biogen Inc
amgn.us.txt,Amgen Inc
adp.us.txt,Automatic Data Processing Inc
bidu.us.txt,Baidu Inc
ea.us.txt,Electronic Arts
ctxs.us.txt,Citrix Systems Inc
cdw.us.txt,CDW Corp
expe.us.txt,Expedia Group Inc
aapl.us.txt,Apple Inc
chkp.us.txt,Check Point Software Technologies Ltd
alxn.us.txt,Alexion Pharmaceuticals Inc
cdns.us.txt,Cadence Design Systems Inc
fisv.us.txt,Fiserv Inc
cprt.us.txt,Copart Inc
dltr.us.txt,Dollar Tree Inc
amd.us.txt,Advanced Micro Devices Inc
csx.us.txt,CSX Corp
amat.us.txt,Applied Materials Inc
atvi.us.txt,Activision Blizzard Inc
incy.us.txt,Incyte Corp
ctsh.us.txt,Cognizant Technology Solutions Corp
bmrn.us.txt,Biomarin Pharmaceutical Inc
cern.us.txt,Cerner Corp
gild.us.txt,Gilead Sciences Inc
cmcsa.us.txt,Comcast Corp
ebay.us.txt,eBay Inc
fast.us.txt,Fastenal Co
gs.us.txt,Goldman Sachs Group Inc
